,AAPL,MSFT,AMZN,GOOG,FB,GOOGL,JPM,TSLA,UNH,V,NVDA,HD,BAC,PG,DIS,MA,PYPL,CMCSA,ADBE,INTC,VZ,CSCO,PFE,NFLX,KO,T,CRM,PEP,ABT,ABBV,MRK,AVGO,TMO,ACN,MCD,TXN,NKE,MDT,LLY,COST,C,DHR,LIN,UPS,QCOM,UNP,BMY,ORCL,LOW,AMGN,SBUX,CAT,BLK,IBM,MS,AMAT,GS,AMT,DE,CVS,TGT,INTU,AXP,SCHW,ANTM,CHTR,BKNG,ISRG,AMD,MU,LRCX,FIS,NOW,SPGI,CI,SYK,MDLZ,PLD,ADP,ZTS,GILD,TFC,SQ,PNC,USB,TJX,CCI,TMUS,CME,FDX,CSX,CB,ATVI,COF,ITW,UBER,SHW,CL,MMC,BDX,EL,FISV,APD,EQIX,MELI,ADSK,ICE,ADI,BSX,ILMN,NEM,WM,EW,NXPI,ZM,PGR,GPN,AON,HCA,F,HUM,VRTX,MCO,MRNA,DOW,DG,KLAC,MET,REGN,TWLO,JCI,IDXX,AIG,DD,IQV,ALGN,TWTR,TT,KMB,ROST,TROW,CNC,PRU,DLR,A,PSA,INFO,BK,BAX,ALL,BIIB,SRE,WDAY,EA,TRV,APTV,CMG,VEEV,EBAY,SYY,MCHP,AFL,SNPS,WBA,MSCI,GIS,CTSH,ALXN,MRVL,HPQ,ORLY,LULU,DOCU,YUM,DFS,IFF,MNST,CDNS,MSI,PANW,ZBH,DXCM,CTVA,WLTW,CSGP,SWK,SBAC,FRC,SPOT,AZO,PAYX,CTAS,XLNX,DHI,WELL,TEAM,PCAR,AMP,STT,NUE,PINS,CRWD,RMD,ROK,KKR,FTNT,MTD,MCK,CBRE,AVB,KR,EPAM,WST,KEYS,OKTA,SNOW,SIVB,DDOG,VRSK,NET,HUBS,ODFL,AJG,n/a,O,ETSY,EFX,SUM
08/13/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/16/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/17/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/18/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/19/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/20/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/23/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/24/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/25/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/26/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/27/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/30/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
08/31/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
09/01/2021,5.86,5.56,4.07,2.38,2.27,1.56,1.27,1.44,1.03,1.08,1.3,0.93,0.85,0.89,0.87,0.87,0.93,0.71,0.76,0.62,0.63,0.61,0.6,0.62,0.57,0.56,0.59,0.56,0.55,0.54,0.54,0.52,0.54,0.51,0.47,0.48,0.52,0.45,0.53,0.48,0.4,0.46,0.41,0.41,0.44,0.4,0.41,0.37,0.38,0.38,0.36,0.33,0.34,0.0,0.35,0.36,0.34,0.33,0.27,0.3,0.33,0.34,0.29,0.31,0.25,0.26,0.24,0.3,0.31,0.26,0.25,0.24,0.29,0.27,0.22,0.25,0.24,0.24,0.23,0.24,0.24,0.2,0.26,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.22,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.2,0.19,0.17,0.18,0.17,0.17,0.19,0.14,0.16,0.17,0.15,0.22,0.16,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.22,0.13,0.14,0.14,0.12,0.15,0.17,0.13,0.15,0.11,0.11,0.13,0.13,0.15,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.11,0.12,0.11,0.1,0.12,0.12,0.12,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.13,0.1,0.11,0.11,0.14,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.12,0.11,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001
