,AGPXX,United States Treasury Bill,United States Treasury Bill.1,Perusahaan Perseroan Persero PT Perusahaan Listrik Negara,Novelis Corp,Industrial & Commercial Bank of China Ltd/New York NY,Abu Dhabi National Energy Co PJSC,Dolphin Energy Ltd LLC,Itau Unibanco Holding SA/Cayman Island,Turkiye Is Bankasi AS,Turkiye Vakiflar Bankasi TAO,Unity 1 Sukuk Ltd,Export-Import Bank of Malaysia Bhd,RHB Bank Bhd,Indian Oil Corp Ltd,Sinopec Group Overseas Development 2016 Ltd,Alibaba Group Holding Ltd,Chile Government International Bond,B 0 07/22/21,B 0 08/19/21,Perusahaan Listrik Negara PT 5.5%,Novelis Corporation 5.88%,"Industrial and Commercial Bank of China Limited, New York Branch 2.45%",Abu Dhabi National Energy Company 5.88%,Dolphin Energy Limited 5.5%,Itau Unibanco Holding SA Cayman Branch 6.2%,Turkiye Vakiflar Bankasi T.A.O. 5.5%,Unity 1 Sukuk Ltd 3.86%,Turkiye Is Bankasi A.S. 5.38%,Export-Import Bank of Malaysia Berhad 2.48%,RHB Bank Berhad 2.5%,Sinopec Group Overseas Development (2016) Limited 2%,Indian Oil Corporation Limited 5.62%,Alibaba Group Holding Ltd 3.12%,Chile (Republic of) 3.25%,Securities Lending - Bnym,United States Treasury Bills 0%,B 0 10/21/21,Cash/Receivables/Payables,B 0 11/18/21,PLNIJ 5.5 11/22/21 REGS,TAQAUH 5.875 12/13/21 144A,ITAU 6.2 12/21/21 REGS,DOLNRG 5.5 12/15/21 144A,UNITYL 3.86 11/30/21,VAKBN 5.5 10/27/21 144A,ISCTR 5.375 10/06/21 REGS,RHBCMK 2.503 10/06/21 EMTN,SINOPE 2 09/29/21 144A,BABA 3.125 11/28/21,n/a,B 0 10.21.21,B 0 11.18.21,PLNIJ 5.5 11.22.21 REGS,TAQAUH 5.875 12.13.21 144A,ITAU 6.2 12.21.21 REGS,DOLNRG 5.5 12.15.21 144A,UNITYL 3.86 11.30.21,VAKBN 5.5 10.27.21 144A,BABA 3.125 11.28.21,CMBR 0 11.18.21,ISCTR 5.375 10.06.21 REGS,RHBCMK 2.503 10.06.21 EMTN,SINOPE 2 09.29.21 144A,CHILE 3.25 09.14.21,SUM
11/03/2021,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.09,19.03,4.05,2.04,2.03,2.03,2.03,2.02,1.0,0.0,2.01,2.01,2.01,1.0,99.73000000000002
11/04/2021,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.09,19.03,4.05,2.04,2.03,2.03,2.03,2.02,1.0,0.0,2.01,2.01,2.01,1.0,99.73000000000002
11/05/2021,67.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,19.1,4.02,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.0
11/11/2021,67.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,19.1,4.03,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01
11/12/2021,67.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,19.1,4.03,2.02,2.02,2.02,2.02,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
11/15/2021,67.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,19.1,4.03,2.02,2.02,2.02,2.02,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
11/16/2021,67.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,19.1,4.03,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01
11/17/2021,67.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,19.1,4.03,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01
11/18/2021,67.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,4.03,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.0
11/19/2021,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,4.03,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01
11/22/2021,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,4.03,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01
11/23/2021,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,4.03,2.02,2.02,2.02,2.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,100.01
11/24/2021,90.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,0.0,1.05,0.0,0.0,0.0,0.0,0.0,99.99999999999996
11/25/2021,90.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,2.02,2.02,2.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.01
11/26/2021,90.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,2.01,2.01,2.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99.99
11/29/2021,90.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,2.01,2.02,2.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
12/02/2021,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
