,NESN.SW,ASML.AS,ROG.SW,7203.T,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,SIE.DE,6758.T,TTE.PA,SAN.PA,BHP.AX,ALV.DE,GSK.L,CSL.AX,OR.PA,RIO.L,SU.PA,RDSA.AS,AI.PA,BP.L,IBE.MC,DAI.DE,388.HK,RYDBF,ENEL.MI,BNP.PA,DTE.DE,WBC.AX,7974.T,DPW.DE,ADS.DE,SAN.MC,6098.T,NAB.AX,KER.PA,ADYEN.AS,RKT.L,8035.T,BHP.L,ZURN.SW,9432.T,DG.PA,CS.PA,6594.T,ANZ.AX,NXPI,6501.T,EL.PA,DSV.CO,REL.L,LONN.SW,4502.T,INGA.AS,PRU.L,WES.AX,6367.T,7741.T,9433.T,RMS.PA,ISP.MI,IFX.DE,VOD.L,AAL.L,6954.T,VOW3.DE,LLOY.L,BN.PA,8316.T,SIKA.SW,PHIA.AS,8001.T,MQG.AX,UG,PRX.AS,BARC.L,9983.T,4568.T,D05.SI,CRH.L,BBVA.MC,CPG.L,ITX.MC,ATCO A.ST,MUV2.DE,ERIC B.ST,VWS.CO,8058.T,VNA.DE,GIVN.SW,6273.T,EXPN.L,9434.T,RIO.AX,6702.T,ALC.SW,SGO.PA,BMW.DE,8031.T,AHT.L,PGHN.SW,TLS.AX,8411.T,NDA SE.ST,O39.SI,DSY.PA,DB1.DE,AMS.MC,4503.T,DSM.AS,FERG.L,CAP.PA,6902.T,NOKIA.HE,ENI.MI,KNEBV.HE,4911.T,TCL.AX,4452.T,HEXA B.ST,NESTE.HE,4661.T,ASSA B.ST,4543.T,LR.PA,GMG.AX,4901.T,SAND.ST,U11.SI,GMAB.CO,GEBN.SW,WKL.AS,5108.T,4523.T,SREN.SW,ML.PA,ORSTED.CO,9022.T,6752.T,4338.SR,MRK.DE,4519.T,DBK.DE,UCG.MI,GLE.PA,STM.PA,CLNX.MC,TEP.PA,669.HK,6326.T,BT.A.L,G.MI,9020.T,TEF.MC,7751.T,EQNR.OL,ORA.PA,AV.L,KRZ.IR,SSE.L,VIV.PA,MT.AS,WLN.PA,KBC.BR,LGEN.L,SAMPO.HE,AKZA.AS,DWNI.DE,8801.T,8591.T,1.HK,ZAL.DE,FRE.DE,COLO B.CO,SWED A.ST,ESSITY B.ST,6971.T,823.HK,SEB A.ST,ATCOB.ST,STAN.L,UPM.HE,KNIN.SW,8802.T,DNB.OL,6502.T,7309.T,HEN3.DE,ACA.PA,ALO.PA,SGRO.L,1925.T,8267.T,6869.T,NIBE B.ST,HM B.ST,SY1.DE,REP.MC,003000.KS,3.HK,WPL.AX,DSYA.,6857.T,AP4.SI,SGSN.SW,SHB A.ST,EQT.ST,III.L,4507.T,8113.T,ERF.PA,CRDA.L,4300.SR,6645.T,n/a,6920.T,UMG.AS,NEXI.MI,SUM
08/16/2021,2.53,2.46,2.12,1.54,1.1,1.12,1.08,1.13,1.27,1.02,0.94,0.9,0.84,0.87,0.74,0.78,0.73,0.75,0.63,0.72,0.63,0.62,0.6,0.57,0.56,0.62,0.57,0.54,0.55,0.53,0.52,0.42,0.51,0.49,0.5,0.52,0.5,0.52,0.53,0.42,0.46,0.49,0.5,0.45,0.44,0.49,0.45,0.44,0.45,0.41,0.43,0.4,0.44,0.44,0.39,0.4,0.41,0.4,0.47,0.43,0.36,0.39,0.37,0.37,0.36,0.41,0.33,0.34,0.35,0.36,0.34,0.36,0.3,0.34,0.32,0.34,0.29,0.33,0.28,0.29,0.31,0.32,0.33,0.28,0.29,0.34,0.31,0.26,0.27,0.31,0.3,0.3,0.31,0.3,0.28,0.25,0.25,0.26,0.29,0.24,0.27,0.27,0.29,0.26,0.26,0.27,0.26,0.0,0.24,0.21,0.23,0.27,0.24,0.27,0.24,0.26,0.23,0.23,0.21,0.21,0.22,0.25,0.21,0.21,0.23,0.21,0.23,0.23,0.21,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.2,0.21,0.2,0.19,0.2,0.0,0.22,0.18,0.19,0.2,0.2,0.21,0.19,0.18,0.22,0.18,0.16,0.18,0.16,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.17,0.15,0.16,0.14,0.14,0.14,0.0,0.16,0.14,0.14,0.0,0.15,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.2,0.13,0.0,0.29,0.13,0.0,0.0,0.0,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6
08/17/2021,2.56,2.44,2.12,1.54,1.11,1.12,1.09,1.12,1.27,1.02,0.95,0.89,0.84,0.86,0.74,0.78,0.75,0.75,0.63,0.73,0.62,0.63,0.6,0.57,0.56,0.61,0.56,0.54,0.55,0.53,0.52,0.42,0.51,0.5,0.5,0.57,0.51,0.51,0.54,0.42,0.45,0.5,0.5,0.45,0.44,0.49,0.44,0.44,0.45,0.41,0.43,0.41,0.44,0.44,0.39,0.41,0.41,0.41,0.47,0.43,0.36,0.4,0.37,0.37,0.35,0.41,0.32,0.34,0.34,0.36,0.34,0.36,0.3,0.34,0.33,0.34,0.28,0.33,0.28,0.3,0.31,0.31,0.33,0.28,0.3,0.33,0.31,0.26,0.28,0.31,0.3,0.3,0.3,0.3,0.28,0.25,0.24,0.26,0.29,0.24,0.27,0.26,0.29,0.26,0.26,0.27,0.25,0.0,0.24,0.21,0.23,0.27,0.24,0.27,0.24,0.26,0.23,0.23,0.21,0.2,0.22,0.25,0.21,0.21,0.24,0.21,0.23,0.23,0.21,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.21,0.21,0.19,0.2,0.0,0.22,0.18,0.19,0.2,0.2,0.21,0.19,0.19,0.22,0.18,0.16,0.18,0.16,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.19,0.15,0.18,0.17,0.18,0.17,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.17,0.15,0.16,0.14,0.14,0.14,0.0,0.17,0.13,0.14,0.0,0.16,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.2,0.13,0.0,0.29,0.0,0.0,0.0,0.0,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.72
08/18/2021,2.56,2.44,2.12,1.54,1.11,1.12,1.09,1.12,1.27,1.02,0.95,0.89,0.84,0.86,0.74,0.78,0.75,0.75,0.63,0.73,0.62,0.63,0.6,0.57,0.56,0.61,0.56,0.54,0.55,0.53,0.52,0.42,0.51,0.5,0.5,0.57,0.51,0.51,0.54,0.42,0.45,0.5,0.5,0.45,0.44,0.49,0.44,0.44,0.45,0.41,0.43,0.41,0.44,0.44,0.39,0.41,0.41,0.41,0.47,0.43,0.36,0.4,0.37,0.37,0.35,0.41,0.32,0.34,0.34,0.36,0.34,0.36,0.3,0.34,0.33,0.34,0.28,0.33,0.28,0.3,0.31,0.31,0.33,0.28,0.3,0.33,0.31,0.26,0.28,0.31,0.3,0.3,0.3,0.3,0.28,0.25,0.24,0.26,0.29,0.24,0.27,0.26,0.29,0.26,0.26,0.27,0.25,0.0,0.24,0.21,0.23,0.27,0.24,0.27,0.24,0.26,0.23,0.23,0.21,0.2,0.22,0.25,0.21,0.21,0.24,0.21,0.23,0.23,0.21,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.21,0.21,0.19,0.2,0.0,0.22,0.18,0.19,0.2,0.2,0.21,0.19,0.19,0.22,0.18,0.16,0.18,0.16,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.19,0.15,0.18,0.17,0.18,0.17,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.17,0.15,0.16,0.14,0.14,0.14,0.0,0.17,0.13,0.14,0.0,0.16,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.2,0.13,0.0,0.29,0.0,0.0,0.0,0.0,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.72
08/19/2021,2.56,2.44,2.12,1.54,1.11,1.12,1.09,1.12,1.27,1.02,0.95,0.89,0.84,0.86,0.74,0.78,0.75,0.75,0.63,0.73,0.62,0.63,0.6,0.57,0.56,0.61,0.56,0.54,0.55,0.53,0.52,0.42,0.51,0.5,0.5,0.57,0.51,0.51,0.54,0.42,0.45,0.5,0.5,0.45,0.44,0.49,0.44,0.44,0.45,0.41,0.43,0.41,0.44,0.44,0.39,0.41,0.41,0.41,0.47,0.43,0.36,0.4,0.37,0.37,0.35,0.41,0.32,0.34,0.34,0.36,0.34,0.36,0.3,0.34,0.33,0.34,0.28,0.33,0.28,0.3,0.31,0.31,0.33,0.28,0.3,0.33,0.31,0.26,0.28,0.31,0.3,0.3,0.3,0.3,0.28,0.25,0.24,0.26,0.29,0.24,0.27,0.26,0.29,0.26,0.26,0.27,0.25,0.0,0.24,0.21,0.23,0.27,0.24,0.27,0.24,0.26,0.23,0.23,0.21,0.2,0.22,0.25,0.21,0.21,0.24,0.21,0.23,0.23,0.21,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.21,0.21,0.19,0.2,0.0,0.22,0.18,0.19,0.2,0.2,0.21,0.19,0.19,0.22,0.18,0.16,0.18,0.16,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.19,0.15,0.18,0.17,0.18,0.17,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.17,0.15,0.16,0.14,0.14,0.14,0.0,0.17,0.13,0.14,0.0,0.16,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.2,0.13,0.0,0.29,0.0,0.0,0.0,0.0,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.72
08/20/2021,2.63,2.46,2.17,1.53,1.13,1.13,1.15,1.14,1.31,1.03,0.92,0.89,0.87,0.83,0.73,0.8,0.75,0.75,0.61,0.74,0.62,0.63,0.59,0.58,0.54,0.59,0.56,0.54,0.54,0.54,0.51,0.43,0.51,0.49,0.48,0.55,0.5,0.49,0.54,0.42,0.46,0.51,0.51,0.45,0.44,0.49,0.42,0.42,0.43,0.41,0.43,0.43,0.44,0.46,0.4,0.4,0.4,0.41,0.47,0.43,0.36,0.39,0.37,0.36,0.36,0.4,0.31,0.33,0.33,0.37,0.34,0.37,0.3,0.34,0.32,0.33,0.26,0.33,0.28,0.32,0.3,0.31,0.32,0.28,0.29,0.33,0.32,0.26,0.28,0.31,0.3,0.31,0.3,0.3,0.28,0.24,0.24,0.26,0.29,0.23,0.27,0.26,0.3,0.26,0.26,0.27,0.25,0.0,0.24,0.21,0.23,0.27,0.24,0.27,0.24,0.26,0.23,0.23,0.2,0.2,0.22,0.25,0.2,0.22,0.24,0.22,0.23,0.22,0.23,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.21,0.21,0.19,0.2,0.0,0.23,0.18,0.18,0.19,0.2,0.21,0.2,0.19,0.23,0.18,0.16,0.18,0.16,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.15,0.0,0.14,0.0,0.0,0.14,0.0,0.29,0.0,0.21,0.0,0.0,0.14,0.14,0.14,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,74.81
08/23/2021,2.66,2.48,2.2,1.48,1.16,1.12,1.17,1.15,1.34,1.01,0.92,0.86,0.88,0.73,0.74,0.8,0.76,0.74,0.58,0.74,0.6,0.65,0.57,0.61,0.52,0.59,0.54,0.56,0.54,0.54,0.51,0.43,0.53,0.48,0.48,0.56,0.5,0.43,0.58,0.42,0.45,0.47,0.51,0.45,0.44,0.49,0.43,0.42,0.43,0.4,0.43,0.43,0.44,0.47,0.4,0.4,0.4,0.41,0.47,0.43,0.37,0.37,0.37,0.36,0.36,0.36,0.31,0.32,0.33,0.37,0.34,0.37,0.31,0.34,0.33,0.32,0.26,0.32,0.28,0.33,0.3,0.31,0.32,0.28,0.29,0.32,0.32,0.26,0.29,0.31,0.31,0.31,0.29,0.31,0.29,0.22,0.24,0.3,0.29,0.22,0.26,0.26,0.3,0.26,0.26,0.26,0.25,0.0,0.25,0.21,0.24,0.28,0.24,0.27,0.23,0.26,0.22,0.23,0.19,0.21,0.22,0.25,0.2,0.22,0.23,0.23,0.23,0.22,0.24,0.2,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.21,0.22,0.19,0.19,0.0,0.24,0.19,0.18,0.19,0.19,0.21,0.2,0.19,0.23,0.18,0.16,0.18,0.16,0.19,0.18,0.16,0.17,0.17,0.17,0.18,0.18,0.17,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.17,0.0,0.14,0.0,0.0,0.14,0.0,0.29,0.0,0.22,0.0,0.0,0.0,0.13,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,74.69
08/24/2021,2.67,2.51,2.18,1.42,1.16,1.13,1.15,1.15,1.36,1.01,0.93,0.87,0.89,0.72,0.74,0.8,0.77,0.74,0.59,0.74,0.6,0.65,0.57,0.61,0.53,0.58,0.54,0.56,0.54,0.55,0.51,0.43,0.53,0.48,0.48,0.56,0.5,0.43,0.61,0.42,0.45,0.47,0.51,0.46,0.44,0.49,0.43,0.42,0.44,0.39,0.43,0.43,0.44,0.48,0.4,0.4,0.4,0.41,0.47,0.43,0.37,0.37,0.37,0.37,0.36,0.35,0.3,0.32,0.33,0.37,0.34,0.37,0.31,0.33,0.32,0.32,0.26,0.32,0.28,0.33,0.31,0.31,0.32,0.28,0.3,0.33,0.33,0.26,0.3,0.3,0.31,0.31,0.29,0.31,0.28,0.22,0.24,0.31,0.29,0.22,0.25,0.26,0.3,0.26,0.25,0.27,0.25,0.0,0.25,0.21,0.24,0.28,0.24,0.27,0.21,0.26,0.22,0.23,0.19,0.21,0.22,0.25,0.2,0.22,0.23,0.23,0.23,0.23,0.23,0.2,0.21,0.24,0.23,0.23,0.2,0.17,0.21,0.21,0.23,0.19,0.19,0.0,0.24,0.19,0.18,0.19,0.19,0.21,0.2,0.19,0.22,0.17,0.16,0.18,0.16,0.19,0.18,0.16,0.18,0.17,0.18,0.18,0.18,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.18,0.0,0.14,0.0,0.0,0.14,0.0,0.29,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,0.14,0.22,0.0,0.0,0.0,0.0,0.0,74.81
08/25/2021,2.67,2.51,2.18,1.42,1.16,1.13,1.15,1.15,1.36,1.01,0.93,0.87,0.89,0.72,0.74,0.8,0.77,0.74,0.59,0.74,0.6,0.65,0.57,0.61,0.53,0.58,0.54,0.56,0.54,0.55,0.51,0.43,0.53,0.48,0.48,0.56,0.5,0.43,0.61,0.42,0.45,0.47,0.51,0.46,0.44,0.49,0.43,0.42,0.44,0.39,0.43,0.43,0.44,0.48,0.4,0.4,0.4,0.41,0.47,0.43,0.37,0.37,0.37,0.37,0.36,0.35,0.3,0.32,0.33,0.37,0.34,0.37,0.31,0.33,0.32,0.32,0.26,0.32,0.28,0.33,0.31,0.31,0.32,0.28,0.3,0.33,0.33,0.26,0.3,0.3,0.31,0.31,0.29,0.31,0.28,0.22,0.24,0.31,0.29,0.22,0.25,0.26,0.3,0.26,0.25,0.27,0.25,0.29,0.25,0.21,0.24,0.28,0.24,0.27,0.21,0.26,0.22,0.23,0.19,0.21,0.22,0.25,0.2,0.22,0.23,0.23,0.23,0.23,0.23,0.2,0.21,0.24,0.23,0.23,0.2,0.17,0.21,0.21,0.23,0.19,0.19,0.0,0.24,0.19,0.18,0.19,0.19,0.21,0.2,0.19,0.22,0.17,0.16,0.18,0.16,0.19,0.18,0.16,0.18,0.17,0.18,0.18,0.18,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.0,0.16,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.18,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,0.14,0.22,0.0,0.0,0.0,0.0,0.0,74.81
08/26/2021,2.64,2.55,2.17,1.45,1.14,1.11,1.14,1.15,1.34,1.01,0.95,0.87,0.87,0.72,0.74,0.79,0.76,0.74,0.59,0.73,0.61,0.64,0.58,0.6,0.52,0.61,0.55,0.55,0.54,0.55,0.51,0.43,0.53,0.48,0.48,0.58,0.5,0.44,0.62,0.42,0.46,0.48,0.51,0.46,0.44,0.49,0.42,0.42,0.44,0.4,0.43,0.43,0.44,0.48,0.4,0.4,0.41,0.41,0.48,0.43,0.37,0.38,0.37,0.37,0.36,0.35,0.31,0.32,0.33,0.36,0.34,0.37,0.31,0.33,0.32,0.32,0.26,0.32,0.28,0.33,0.3,0.31,0.32,0.28,0.3,0.33,0.32,0.26,0.3,0.3,0.3,0.31,0.3,0.31,0.28,0.22,0.25,0.3,0.29,0.22,0.25,0.26,0.3,0.26,0.25,0.27,0.24,0.29,0.25,0.21,0.24,0.28,0.24,0.27,0.22,0.26,0.22,0.23,0.19,0.21,0.22,0.25,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.2,0.21,0.24,0.23,0.23,0.2,0.17,0.21,0.21,0.23,0.19,0.19,0.0,0.24,0.19,0.18,0.19,0.19,0.21,0.2,0.19,0.22,0.18,0.15,0.18,0.16,0.19,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.14,0.16,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.18,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,0.0,0.22,0.0,0.0,0.0,0.0,0.0,74.84
08/27/2021,2.63,2.53,2.15,1.45,1.12,1.1,1.13,1.14,1.31,1.01,0.98,0.87,0.86,0.73,0.74,0.78,0.77,0.74,0.6,0.73,0.61,0.64,0.59,0.6,0.53,0.61,0.55,0.54,0.54,0.54,0.51,0.43,0.52,0.48,0.48,0.58,0.5,0.44,0.63,0.41,0.46,0.48,0.51,0.46,0.44,0.49,0.43,0.42,0.45,0.4,0.43,0.42,0.44,0.48,0.4,0.4,0.41,0.4,0.48,0.43,0.37,0.37,0.37,0.38,0.36,0.36,0.31,0.33,0.32,0.36,0.34,0.37,0.31,0.33,0.33,0.32,0.27,0.33,0.28,0.33,0.3,0.31,0.31,0.28,0.29,0.33,0.32,0.26,0.3,0.3,0.3,0.31,0.3,0.31,0.28,0.22,0.25,0.3,0.28,0.22,0.25,0.26,0.3,0.26,0.25,0.27,0.25,0.29,0.25,0.21,0.24,0.28,0.24,0.27,0.23,0.26,0.23,0.23,0.19,0.21,0.22,0.25,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.2,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.2,0.23,0.19,0.19,0.0,0.23,0.19,0.18,0.2,0.19,0.21,0.2,0.19,0.22,0.18,0.15,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.17,0.15,0.16,0.15,0.14,0.14,0.13,0.17,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.18,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.14,0.14,0.0,0.13,0.21,0.0,0.0,0.0,0.0,0.0,74.72999999999999
08/30/2021,2.61,2.55,2.14,1.49,1.13,1.1,1.11,1.13,1.31,1.01,0.97,0.88,0.86,0.73,0.74,0.78,0.77,0.74,0.59,0.73,0.62,0.64,0.58,0.59,0.53,0.6,0.55,0.54,0.55,0.54,0.52,0.43,0.52,0.48,0.49,0.57,0.5,0.44,0.61,0.41,0.47,0.48,0.5,0.46,0.44,0.49,0.43,0.42,0.47,0.4,0.43,0.42,0.44,0.47,0.4,0.41,0.42,0.4,0.49,0.44,0.37,0.37,0.36,0.38,0.36,0.36,0.31,0.33,0.33,0.35,0.34,0.37,0.31,0.33,0.33,0.32,0.27,0.33,0.28,0.33,0.31,0.32,0.32,0.28,0.29,0.33,0.32,0.27,0.3,0.31,0.29,0.31,0.3,0.31,0.28,0.22,0.25,0.3,0.29,0.22,0.25,0.26,0.3,0.25,0.25,0.27,0.25,0.29,0.24,0.21,0.24,0.28,0.24,0.27,0.23,0.26,0.23,0.23,0.19,0.21,0.22,0.25,0.21,0.23,0.23,0.22,0.23,0.22,0.23,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.2,0.22,0.19,0.19,0.0,0.23,0.19,0.18,0.2,0.2,0.21,0.2,0.19,0.22,0.18,0.15,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.19,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.14,0.17,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.17,0.0,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.0,0.14,0.0,0.21,0.13,0.0,0.0,0.0,0.0,74.77000000000001
08/31/2021,2.63,2.6,2.14,1.47,1.13,1.09,1.12,1.13,1.28,1.02,0.96,0.89,0.86,0.73,0.73,0.77,0.78,0.74,0.6,0.73,0.62,0.64,0.59,0.59,0.53,0.6,0.56,0.53,0.55,0.54,0.52,0.42,0.52,0.48,0.49,0.57,0.51,0.44,0.63,0.41,0.47,0.49,0.5,0.46,0.44,0.49,0.43,0.42,0.47,0.39,0.43,0.43,0.44,0.48,0.39,0.41,0.42,0.39,0.48,0.43,0.37,0.37,0.37,0.39,0.36,0.37,0.31,0.33,0.33,0.35,0.34,0.37,0.31,0.33,0.33,0.32,0.27,0.33,0.27,0.33,0.3,0.32,0.32,0.28,0.29,0.33,0.32,0.27,0.3,0.3,0.3,0.31,0.29,0.31,0.28,0.22,0.25,0.3,0.29,0.22,0.25,0.26,0.3,0.25,0.25,0.27,0.24,0.29,0.24,0.21,0.23,0.28,0.24,0.27,0.23,0.26,0.23,0.23,0.19,0.21,0.22,0.26,0.21,0.23,0.23,0.22,0.23,0.22,0.23,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.2,0.21,0.19,0.19,0.0,0.23,0.19,0.18,0.2,0.2,0.22,0.2,0.19,0.23,0.18,0.15,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.19,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.14,0.17,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.18,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.0,0.13,0.0,0.21,0.0,0.0,0.0,0.0,0.0,74.83
09/01/2021,2.63,2.6,2.14,1.47,1.13,1.09,1.12,1.13,1.28,1.02,0.96,0.89,0.86,0.73,0.73,0.77,0.78,0.74,0.6,0.73,0.62,0.64,0.59,0.59,0.53,0.6,0.56,0.53,0.55,0.54,0.52,0.42,0.52,0.48,0.49,0.57,0.51,0.44,0.63,0.41,0.47,0.49,0.5,0.46,0.44,0.49,0.43,0.42,0.47,0.39,0.43,0.43,0.44,0.48,0.39,0.41,0.42,0.39,0.48,0.43,0.37,0.37,0.37,0.39,0.36,0.37,0.31,0.33,0.33,0.35,0.34,0.37,0.31,0.33,0.33,0.32,0.27,0.33,0.27,0.33,0.3,0.32,0.32,0.28,0.29,0.33,0.32,0.27,0.3,0.3,0.3,0.31,0.29,0.31,0.28,0.22,0.25,0.3,0.29,0.22,0.25,0.26,0.3,0.25,0.25,0.27,0.24,0.29,0.24,0.21,0.23,0.28,0.24,0.27,0.23,0.26,0.23,0.23,0.19,0.21,0.22,0.26,0.21,0.23,0.23,0.22,0.23,0.22,0.23,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.21,0.2,0.21,0.19,0.19,0.0,0.23,0.19,0.18,0.2,0.2,0.22,0.2,0.19,0.23,0.18,0.15,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.19,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.14,0.17,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.18,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.0,0.13,0.0,0.21,0.0,0.0,0.0,0.0,0.0,74.83
09/02/2021,2.62,2.62,2.12,1.48,1.12,1.09,1.1,1.14,1.27,1.02,0.96,0.89,0.85,0.74,0.73,0.77,0.78,0.74,0.6,0.73,0.62,0.64,0.59,0.59,0.53,0.61,0.56,0.54,0.54,0.53,0.51,0.42,0.52,0.47,0.48,0.58,0.5,0.44,0.63,0.41,0.48,0.49,0.5,0.46,0.44,0.48,0.43,0.41,0.47,0.4,0.43,0.43,0.44,0.48,0.39,0.41,0.42,0.37,0.49,0.44,0.37,0.37,0.36,0.39,0.36,0.37,0.31,0.33,0.33,0.35,0.34,0.37,0.31,0.33,0.33,0.31,0.26,0.33,0.27,0.33,0.31,0.32,0.31,0.28,0.29,0.33,0.31,0.27,0.3,0.31,0.29,0.31,0.3,0.31,0.28,0.23,0.25,0.3,0.28,0.23,0.25,0.26,0.3,0.25,0.25,0.27,0.25,0.29,0.24,0.2,0.23,0.28,0.24,0.27,0.23,0.26,0.23,0.23,0.2,0.21,0.21,0.26,0.21,0.23,0.23,0.22,0.23,0.22,0.23,0.21,0.21,0.23,0.23,0.23,0.2,0.17,0.2,0.2,0.22,0.19,0.19,0.0,0.23,0.18,0.18,0.2,0.19,0.22,0.2,0.19,0.23,0.18,0.15,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.19,0.18,0.15,0.18,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.14,0.17,0.0,0.14,0.0,0.16,0.14,0.14,0.0,0.18,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.14,0.13,0.14,0.0,0.21,0.0,0.0,0.0,0.0,0.0,74.72999999999999
