,IMCD.AS,VACN.SW,ENX.PA,GETI B.ST,ICP.L,SIGN.SW,SMDS.L,LIGHT.AS,RMV.L,INDT.ST,MOCORP.HE,BME.L,ECM.L,HWDN.L,DPH.L,WEIR.L,TOM.OL,AER,RBREW.CO,ITV.L,CAST.ST,IMI.L,TECN.SW,RMG.L,FI-N.SW,PSPN.SW,EVT.DE,LIFCO B.ST,DLG.DE,BWY.L,AMS.SW,TREL B.ST,VALMT.HE,ASRNL.AS,BESI.AS,WDP.BR,EKTA B.ST,CTEC.L,TYRES.HE,DOM.ST,UTG.L,GAW.L,SXS.L,TPK.L,AALB.AS,RXL.PA,SIM.CO,FUTR.L,BIRG.IR,DPLM.L,MGGT.L,ASC.L,NOD.OL,DLN.L,TEG.DE,BBOX.L,SOI.PA,TATE.L,BEAN.SW,GNS.L,SAGAB.ST,BEIJ B.ST,HUH1V.HE,ADDT B.ST,AVST.L,NETC.CO,THULE.ST,AED.BR,FABG.ST,WIE.VI,BAKKA.OL,PNN.L,IGG.L,HOLM B.ST,BOO.L,ABC.L,ROR.L,TKA.DE,INCH.L,IP.MI,CNA.L,STB.OL,BAMI.MI,ACKB.BR,HELN.SW,AZA.ST,HSV.L,TIGO.ST,RUI.PA,MKS.L,HSX.L,RHM.DE,BG.VI,MRL.MC,SALM.OL,GFTU.L,KIND SDB.ST,AAK.ST,GRG.L,TUI1.DE,ATE.PA,ISS.CO,COFB.BR,EMG.L,ANA.MC,ELIS.PA,SOBI.ST,SAB.MC,UDG.L,BILL.ST,QLT.L,SWEC B.ST,VTY.L,FEVR.L,ANDR.VI,EVD.DE,HAS.L,SBB B.ST,SFZN.SW,GXI.DE,VMUK.L,REY.MI,CCL.L,FDR.MC,GALE.SW,GBP,BVIC.L,IWG.L,SCATC.OL,PETS.L,HER.MI,BANB.SW,CMBN.SW,PSM.DE,BOSS.DE,GL9.IR,NENT B.ST,BKT.MC,HPOL B.ST,FHZN.SW,CRBN.AS,BUCN.SW,CSP.L,DUFN.SW,NEL.OL,BRAV.ST,NDA.DE,GLPG.AS,CBG.L,AFRY.ST,A2A.MI,BYG.L,WIHL.ST,ALK B.CO,IG.MI,LDO.MI,ROSE.SW,IDIA.SW,SAFE.L,BBY.L,AIXA.DE,DLG.MI,SESG.PA,FNTN.DE,CWK.L,AXFO.ST,ARCAD.AS,VCT.L,BFSA.DE,SCT.L,SOP.PA,AOX.DE,SSPG.L,SMWH.L,SPIE.PA,AGK.L,VAR1.DE,VITR.ST,INVP.L,VIS.MC,KORI.PA,GYC.DE,CAI.VI,JET2.L,AGR.L,ALLN.SW,DOCS.L,BEZ.L,KOJAMO.HE,RILBA.CO,OSB.L,PHP.L,TIETO.HE,LMP.L,COL.MC,SDF.DE,JYSK.CO,KCR.HE,PAGE.L,AZM.MI,EUR,DKSH.SW,WALL B.ST,CCC.L,QQ.L,INRN.SW,DIE.BR,GRI.L,ENTRA.OL,SUN.SW,NYF.ST,WAF1.,JLG.L,APAM.AS,DAE.SW,BURE.ST,SSABB.ST,LSG.OL,MIPS.ST,SFOR.L,ULE.L,KWS.L,ICAD.PA,JUN3.DE,ARJO B.ST,QTCOM.HE,DUE.DE,ZO1.DE,ANSGR.IS,SVS.L,VONN.SW,BAVA.CO,COTN.SW,SBMO.AS,RDW.L,SOW.DE,GEN.L,WCH.DE,RSW.L,FNOX.,ITM.L,RWS.L,BGN.MI,NOLA B.ST,DRX.L,OCI.AS,EZJ.L,SUM
08/13/2021,0.57,0.57,0.48,0.54,0.48,0.53,0.45,0.39,0.47,0.49,0.37,0.38,0.36,0.43,0.41,0.33,0.38,0.39,0.34,0.32,0.37,0.36,0.38,0.3,0.36,0.34,0.32,0.37,0.3,0.32,0.3,0.33,0.3,0.33,0.33,0.33,0.3,0.28,0.28,0.27,0.3,0.29,0.33,0.3,0.34,0.28,0.29,0.32,0.32,0.28,0.43,0.21,0.32,0.29,0.27,0.28,0.28,0.26,0.27,0.29,0.29,0.29,0.28,0.3,0.29,0.27,0.3,0.26,0.26,0.26,0.24,0.27,0.25,0.28,0.21,0.24,0.22,0.23,0.27,0.25,0.22,0.23,0.24,0.22,0.23,0.25,0.22,0.22,0.2,0.21,0.25,0.23,0.23,0.22,0.21,0.22,0.2,0.23,0.23,0.19,0.26,0.21,0.23,0.24,0.22,0.19,0.22,0.22,0.0,0.22,0.23,0.18,0.2,0.19,0.21,0.22,0.19,0.24,0.21,0.18,0.2,0.2,0.18,0.2,0.2,0.51,0.2,0.19,0.0,0.18,0.19,0.19,0.17,0.16,0.2,0.19,0.22,0.21,0.2,0.18,0.17,0.19,0.2,0.16,0.0,0.18,0.15,0.15,0.19,0.17,0.19,0.19,0.18,0.19,0.18,0.18,0.2,0.15,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.0,0.18,0.17,0.18,0.18,0.17,0.18,0.0,0.17,0.16,0.0,0.19,0.18,0.0,0.0,0.15,0.0,0.0,0.16,0.16,0.16,0.0,0.2,0.16,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.0,0.0,0.15,0.16,0.0,0.16,0.0,0.16,0.0,0.0,0.2,0.0,0.16,0.0,0.0,0.0,0.15,0.17,0.0,0.15,0.16,0.15,0.0,0.0,0.17,0.0,0.0,0.0,0.15,0.17,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36
08/16/2021,0.57,0.57,0.48,0.54,0.48,0.51,0.46,0.4,0.46,0.48,0.37,0.38,0.36,0.43,0.42,0.33,0.38,0.4,0.34,0.33,0.37,0.36,0.37,0.3,0.37,0.34,0.34,0.36,0.3,0.31,0.29,0.33,0.3,0.34,0.32,0.33,0.3,0.28,0.28,0.28,0.31,0.29,0.34,0.3,0.34,0.28,0.3,0.31,0.33,0.28,0.48,0.21,0.31,0.28,0.27,0.29,0.27,0.26,0.27,0.29,0.3,0.29,0.28,0.29,0.3,0.27,0.3,0.26,0.26,0.26,0.23,0.28,0.25,0.27,0.22,0.24,0.22,0.22,0.27,0.25,0.22,0.23,0.25,0.22,0.23,0.25,0.22,0.22,0.2,0.22,0.25,0.23,0.23,0.22,0.21,0.23,0.21,0.23,0.23,0.19,0.26,0.2,0.23,0.24,0.22,0.19,0.22,0.22,0.0,0.22,0.21,0.18,0.2,0.19,0.21,0.22,0.19,0.24,0.21,0.18,0.21,0.2,0.18,0.2,0.2,0.5,0.2,0.18,0.0,0.18,0.19,0.19,0.17,0.16,0.2,0.19,0.23,0.21,0.2,0.18,0.17,0.19,0.21,0.16,0.0,0.17,0.0,0.15,0.18,0.17,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.0,0.18,0.16,0.17,0.17,0.16,0.17,0.16,0.0,0.19,0.17,0.18,0.18,0.17,0.18,0.15,0.16,0.16,0.0,0.18,0.18,0.0,0.0,0.15,0.16,0.0,0.0,0.16,0.16,0.0,0.2,0.16,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.0,0.0,0.15,0.16,0.0,0.16,0.0,0.16,0.15,0.0,0.2,0.16,0.16,0.16,0.0,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.15,0.15,0.17,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.43
08/17/2021,0.57,0.57,0.48,0.53,0.48,0.51,0.45,0.4,0.45,0.48,0.38,0.38,0.36,0.43,0.42,0.33,0.38,0.39,0.34,0.33,0.37,0.36,0.36,0.3,0.37,0.34,0.35,0.36,0.3,0.31,0.29,0.33,0.3,0.34,0.32,0.33,0.3,0.27,0.28,0.28,0.31,0.29,0.34,0.3,0.34,0.28,0.31,0.32,0.33,0.28,0.48,0.21,0.3,0.28,0.27,0.3,0.27,0.26,0.27,0.29,0.3,0.29,0.28,0.29,0.3,0.27,0.3,0.26,0.26,0.26,0.23,0.28,0.25,0.27,0.21,0.24,0.22,0.23,0.27,0.26,0.22,0.23,0.24,0.22,0.23,0.25,0.22,0.21,0.2,0.22,0.25,0.23,0.23,0.22,0.21,0.23,0.21,0.23,0.23,0.19,0.26,0.19,0.23,0.24,0.22,0.19,0.22,0.22,0.2,0.22,0.21,0.18,0.2,0.18,0.21,0.22,0.19,0.24,0.21,0.18,0.2,0.2,0.18,0.21,0.21,0.3,0.2,0.18,0.0,0.18,0.19,0.19,0.17,0.16,0.2,0.19,0.23,0.21,0.2,0.18,0.17,0.19,0.21,0.16,0.0,0.17,0.0,0.0,0.18,0.17,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.0,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.18,0.18,0.17,0.18,0.15,0.17,0.16,0.0,0.16,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.16,0.0,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.0,0.0,0.15,0.16,0.0,0.16,0.16,0.16,0.15,0.0,0.19,0.16,0.16,0.16,0.0,0.0,0.15,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.16,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24
08/18/2021,0.57,0.57,0.48,0.53,0.48,0.51,0.45,0.4,0.45,0.48,0.38,0.38,0.36,0.43,0.42,0.33,0.38,0.39,0.34,0.33,0.37,0.36,0.36,0.3,0.37,0.34,0.35,0.36,0.3,0.31,0.29,0.33,0.3,0.34,0.32,0.33,0.3,0.27,0.28,0.28,0.31,0.29,0.34,0.3,0.34,0.28,0.31,0.32,0.33,0.28,0.48,0.21,0.3,0.28,0.27,0.3,0.27,0.26,0.27,0.29,0.3,0.29,0.28,0.29,0.3,0.27,0.3,0.26,0.26,0.26,0.23,0.28,0.25,0.27,0.21,0.24,0.22,0.23,0.27,0.26,0.22,0.23,0.24,0.22,0.23,0.25,0.22,0.21,0.2,0.22,0.25,0.23,0.23,0.22,0.21,0.23,0.21,0.23,0.23,0.19,0.26,0.19,0.23,0.24,0.22,0.19,0.22,0.22,0.2,0.22,0.21,0.18,0.2,0.18,0.21,0.22,0.19,0.24,0.21,0.18,0.2,0.2,0.18,0.21,0.21,0.0,0.2,0.18,0.0,0.18,0.19,0.19,0.17,0.16,0.2,0.19,0.23,0.21,0.2,0.18,0.17,0.19,0.21,0.16,0.0,0.17,0.0,0.0,0.18,0.17,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.0,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.18,0.18,0.17,0.18,0.0,0.17,0.16,0.0,0.16,0.18,0.0,0.15,0.0,0.16,0.0,0.15,0.16,0.16,0.0,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.0,0.15,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.0,0.15,0.19,0.16,0.16,0.16,0.15,0.0,0.0,0.17,0.0,0.0,0.17,0.15,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24
08/19/2021,0.58,0.57,0.48,0.54,0.47,0.51,0.45,0.4,0.46,0.48,0.37,0.38,0.36,0.43,0.42,0.32,0.38,0.39,0.34,0.33,0.38,0.37,0.37,0.3,0.37,0.34,0.35,0.37,0.31,0.31,0.29,0.33,0.3,0.34,0.31,0.34,0.3,0.28,0.28,0.28,0.31,0.29,0.34,0.3,0.34,0.28,0.3,0.34,0.33,0.28,0.48,0.21,0.3,0.28,0.27,0.3,0.27,0.26,0.27,0.29,0.3,0.29,0.28,0.29,0.3,0.27,0.3,0.26,0.26,0.26,0.23,0.28,0.26,0.27,0.21,0.24,0.22,0.22,0.27,0.26,0.22,0.23,0.24,0.22,0.23,0.24,0.22,0.21,0.2,0.22,0.25,0.23,0.23,0.23,0.21,0.23,0.21,0.23,0.23,0.18,0.26,0.2,0.24,0.24,0.22,0.19,0.22,0.22,0.0,0.22,0.2,0.18,0.2,0.19,0.21,0.22,0.19,0.25,0.21,0.18,0.2,0.2,0.17,0.21,0.21,0.49,0.2,0.18,0.0,0.18,0.19,0.19,0.17,0.16,0.2,0.19,0.23,0.21,0.2,0.18,0.18,0.19,0.21,0.16,0.0,0.17,0.0,0.0,0.18,0.17,0.19,0.19,0.19,0.17,0.19,0.18,0.2,0.15,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.18,0.18,0.17,0.19,0.0,0.16,0.16,0.0,0.0,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.16,0.0,0.19,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.15,0.16,0.0,0.16,0.16,0.16,0.0,0.16,0.2,0.16,0.17,0.16,0.16,0.15,0.0,0.17,0.0,0.15,0.16,0.0,0.15,0.0,0.18,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.51
08/20/2021,0.59,0.58,0.5,0.53,0.48,0.52,0.46,0.4,0.46,0.48,0.37,0.37,0.37,0.43,0.43,0.32,0.38,0.39,0.34,0.33,0.38,0.37,0.38,0.3,0.37,0.34,0.36,0.37,0.32,0.31,0.29,0.33,0.3,0.34,0.31,0.34,0.3,0.28,0.28,0.27,0.31,0.29,0.34,0.3,0.34,0.28,0.3,0.32,0.32,0.28,0.49,0.21,0.29,0.28,0.27,0.3,0.28,0.26,0.28,0.29,0.3,0.28,0.28,0.29,0.3,0.27,0.31,0.26,0.26,0.26,0.24,0.28,0.26,0.27,0.21,0.25,0.22,0.23,0.27,0.26,0.22,0.23,0.24,0.22,0.23,0.24,0.22,0.21,0.2,0.22,0.25,0.23,0.23,0.22,0.21,0.23,0.21,0.23,0.23,0.18,0.26,0.19,0.24,0.24,0.22,0.19,0.23,0.21,0.0,0.22,0.2,0.18,0.2,0.19,0.21,0.21,0.19,0.24,0.21,0.18,0.19,0.2,0.17,0.21,0.21,0.49,0.2,0.17,0.0,0.18,0.2,0.2,0.17,0.16,0.2,0.19,0.23,0.21,0.19,0.18,0.18,0.19,0.21,0.16,0.0,0.17,0.0,0.0,0.18,0.17,0.19,0.19,0.19,0.17,0.19,0.18,0.2,0.0,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.18,0.19,0.17,0.18,0.15,0.16,0.16,0.0,0.16,0.18,0.0,0.0,0.0,0.16,0.0,0.15,0.16,0.16,0.0,0.19,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.15,0.16,0.19,0.16,0.17,0.16,0.16,0.0,0.0,0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.15,0.17,0.15,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.58
08/23/2021,0.6,0.59,0.51,0.53,0.47,0.52,0.46,0.4,0.47,0.47,0.36,0.38,0.37,0.43,0.44,0.32,0.37,0.37,0.35,0.32,0.37,0.37,0.4,0.29,0.37,0.34,0.36,0.37,0.32,0.31,0.29,0.31,0.29,0.34,0.31,0.34,0.3,0.28,0.28,0.26,0.31,0.29,0.34,0.3,0.33,0.27,0.31,0.33,0.32,0.28,0.5,0.21,0.29,0.28,0.28,0.3,0.27,0.26,0.28,0.3,0.29,0.29,0.28,0.29,0.3,0.28,0.31,0.26,0.26,0.25,0.23,0.28,0.26,0.27,0.22,0.24,0.22,0.22,0.27,0.26,0.22,0.23,0.24,0.22,0.23,0.24,0.22,0.21,0.2,0.21,0.24,0.23,0.23,0.23,0.2,0.23,0.21,0.23,0.23,0.18,0.26,0.19,0.24,0.24,0.22,0.18,0.22,0.21,0.0,0.22,0.2,0.18,0.2,0.18,0.21,0.21,0.2,0.25,0.2,0.18,0.2,0.21,0.17,0.21,0.22,0.51,0.2,0.17,0.0,0.18,0.2,0.2,0.18,0.16,0.19,0.2,0.23,0.21,0.19,0.18,0.18,0.19,0.21,0.16,0.0,0.17,0.0,0.0,0.18,0.16,0.2,0.19,0.19,0.17,0.19,0.18,0.18,0.0,0.18,0.15,0.16,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.18,0.19,0.17,0.19,0.0,0.16,0.16,0.0,0.16,0.18,0.15,0.0,0.15,0.16,0.0,0.15,0.16,0.16,0.0,0.19,0.16,0.18,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,0.19,0.16,0.16,0.16,0.0,0.0,0.15,0.16,0.0,0.0,0.0,0.15,0.0,0.15,0.18,0.16,0.0,0.0,0.0,0.17,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5
08/24/2021,0.6,0.6,0.52,0.53,0.47,0.53,0.46,0.39,0.47,0.47,0.35,0.38,0.37,0.43,0.44,0.32,0.38,0.38,0.35,0.32,0.38,0.36,0.41,0.29,0.37,0.33,0.37,0.37,0.32,0.31,0.29,0.31,0.29,0.34,0.31,0.34,0.3,0.28,0.28,0.26,0.31,0.29,0.34,0.3,0.33,0.27,0.3,0.34,0.32,0.28,0.5,0.22,0.29,0.29,0.28,0.3,0.28,0.26,0.28,0.3,0.3,0.29,0.28,0.29,0.31,0.29,0.32,0.26,0.26,0.26,0.23,0.28,0.26,0.27,0.22,0.24,0.22,0.22,0.27,0.26,0.23,0.22,0.24,0.22,0.23,0.24,0.21,0.21,0.19,0.24,0.24,0.23,0.23,0.22,0.2,0.23,0.22,0.24,0.23,0.18,0.26,0.19,0.24,0.24,0.22,0.19,0.22,0.21,0.0,0.22,0.2,0.18,0.2,0.18,0.21,0.2,0.2,0.25,0.21,0.18,0.2,0.21,0.17,0.21,0.22,0.5,0.2,0.17,0.0,0.18,0.2,0.21,0.17,0.16,0.18,0.19,0.24,0.21,0.19,0.18,0.18,0.18,0.21,0.16,0.0,0.17,0.0,0.0,0.18,0.16,0.2,0.19,0.19,0.17,0.19,0.18,0.18,0.0,0.18,0.0,0.17,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.17,0.19,0.17,0.18,0.0,0.16,0.16,0.0,0.16,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.17,0.0,0.19,0.16,0.18,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.0,0.16,0.19,0.16,0.16,0.16,0.0,0.0,0.15,0.16,0.0,0.0,0.0,0.15,0.15,0.15,0.18,0.16,0.0,0.0,0.15,0.17,0.0,0.16,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.63
08/25/2021,0.6,0.6,0.52,0.53,0.47,0.53,0.46,0.39,0.47,0.47,0.35,0.38,0.37,0.43,0.44,0.32,0.38,0.38,0.35,0.32,0.38,0.36,0.41,0.29,0.37,0.33,0.37,0.37,0.32,0.31,0.29,0.31,0.29,0.34,0.31,0.34,0.3,0.28,0.28,0.26,0.31,0.29,0.34,0.3,0.33,0.27,0.3,0.34,0.32,0.28,0.5,0.22,0.29,0.29,0.28,0.3,0.28,0.26,0.28,0.3,0.3,0.29,0.28,0.29,0.31,0.29,0.32,0.26,0.26,0.26,0.23,0.28,0.26,0.27,0.22,0.24,0.22,0.22,0.27,0.26,0.23,0.22,0.24,0.22,0.23,0.24,0.21,0.21,0.19,0.24,0.24,0.23,0.23,0.22,0.2,0.23,0.22,0.24,0.23,0.18,0.26,0.19,0.24,0.24,0.22,0.19,0.22,0.21,0.0,0.22,0.2,0.18,0.2,0.18,0.21,0.2,0.2,0.25,0.21,0.18,0.2,0.21,0.17,0.21,0.22,0.5,0.2,0.17,0.0,0.18,0.2,0.21,0.17,0.16,0.18,0.19,0.24,0.21,0.19,0.18,0.18,0.18,0.21,0.16,0.0,0.17,0.0,0.0,0.18,0.16,0.2,0.19,0.19,0.17,0.19,0.18,0.18,0.0,0.18,0.0,0.17,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.17,0.19,0.17,0.18,0.0,0.16,0.16,0.0,0.16,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.17,0.0,0.19,0.16,0.18,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.0,0.16,0.19,0.16,0.16,0.16,0.0,0.0,0.15,0.16,0.0,0.0,0.0,0.15,0.15,0.15,0.18,0.16,0.0,0.0,0.15,0.17,0.0,0.16,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.63
08/26/2021,0.6,0.6,0.51,0.53,0.47,0.53,0.46,0.39,0.46,0.48,0.35,0.39,0.37,0.42,0.44,0.32,0.38,0.37,0.35,0.31,0.37,0.36,0.43,0.3,0.36,0.33,0.37,0.38,0.32,0.31,0.3,0.31,0.29,0.34,0.31,0.34,0.29,0.28,0.27,0.26,0.3,0.29,0.34,0.3,0.34,0.27,0.3,0.33,0.32,0.28,0.49,0.21,0.3,0.28,0.27,0.3,0.28,0.25,0.28,0.29,0.29,0.3,0.28,0.3,0.31,0.3,0.32,0.26,0.26,0.26,0.23,0.27,0.26,0.26,0.22,0.24,0.22,0.22,0.27,0.26,0.22,0.22,0.24,0.22,0.23,0.24,0.21,0.21,0.2,0.24,0.24,0.23,0.23,0.22,0.2,0.22,0.22,0.24,0.23,0.18,0.26,0.19,0.23,0.24,0.22,0.19,0.22,0.21,0.0,0.22,0.2,0.18,0.2,0.18,0.21,0.2,0.2,0.25,0.21,0.19,0.2,0.21,0.17,0.2,0.22,0.34,0.2,0.17,0.0,0.19,0.2,0.21,0.0,0.16,0.18,0.2,0.24,0.21,0.19,0.18,0.18,0.18,0.21,0.16,0.0,0.17,0.15,0.0,0.17,0.17,0.2,0.19,0.18,0.18,0.19,0.18,0.19,0.0,0.18,0.15,0.17,0.17,0.17,0.17,0.16,0.16,0.19,0.17,0.17,0.19,0.17,0.18,0.0,0.16,0.16,0.0,0.16,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.16,0.0,0.18,0.16,0.18,0.17,0.17,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.16,0.2,0.16,0.0,0.16,0.0,0.16,0.19,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.0,0.0,0.15,0.18,0.0,0.16,0.0,0.0,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.42
08/27/2021,0.6,0.59,0.51,0.51,0.46,0.53,0.46,0.39,0.46,0.47,0.36,0.38,0.37,0.42,0.43,0.32,0.39,0.38,0.35,0.31,0.37,0.36,0.42,0.29,0.37,0.33,0.37,0.37,0.31,0.32,0.31,0.32,0.3,0.34,0.32,0.33,0.29,0.27,0.27,0.26,0.3,0.29,0.34,0.3,0.33,0.27,0.3,0.33,0.32,0.28,0.49,0.21,0.31,0.28,0.27,0.3,0.28,0.25,0.28,0.29,0.29,0.3,0.28,0.29,0.3,0.28,0.32,0.26,0.26,0.25,0.23,0.27,0.26,0.26,0.21,0.24,0.22,0.23,0.26,0.26,0.23,0.23,0.24,0.22,0.24,0.24,0.21,0.21,0.2,0.25,0.24,0.23,0.22,0.22,0.2,0.22,0.22,0.23,0.23,0.19,0.26,0.19,0.23,0.23,0.22,0.19,0.22,0.21,0.0,0.22,0.2,0.18,0.21,0.18,0.21,0.2,0.2,0.25,0.2,0.18,0.2,0.22,0.18,0.2,0.22,0.35,0.2,0.17,0.0,0.19,0.2,0.21,0.0,0.16,0.18,0.2,0.24,0.21,0.19,0.18,0.18,0.18,0.21,0.17,0.0,0.17,0.0,0.0,0.17,0.17,0.19,0.19,0.18,0.18,0.19,0.18,0.2,0.0,0.18,0.0,0.17,0.17,0.17,0.17,0.16,0.0,0.19,0.17,0.17,0.19,0.17,0.18,0.16,0.17,0.16,0.0,0.16,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.16,0.0,0.18,0.0,0.18,0.17,0.17,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.16,0.2,0.16,0.0,0.16,0.0,0.16,0.18,0.16,0.16,0.16,0.15,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.0,0.0,0.18,0.0,0.16,0.0,0.15,0.15,0.17,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.38
08/30/2021,0.6,0.6,0.51,0.5,0.48,0.53,0.45,0.4,0.46,0.47,0.36,0.39,0.37,0.42,0.43,0.33,0.38,0.38,0.34,0.32,0.36,0.37,0.4,0.3,0.36,0.33,0.36,0.37,0.31,0.32,0.3,0.32,0.3,0.36,0.32,0.33,0.26,0.27,0.27,0.26,0.3,0.29,0.34,0.3,0.33,0.27,0.29,0.33,0.33,0.29,0.49,0.21,0.31,0.28,0.27,0.3,0.28,0.25,0.28,0.29,0.29,0.31,0.28,0.29,0.3,0.28,0.31,0.25,0.25,0.25,0.24,0.26,0.26,0.26,0.21,0.25,0.22,0.24,0.26,0.27,0.23,0.23,0.24,0.22,0.23,0.25,0.21,0.21,0.2,0.26,0.24,0.23,0.23,0.22,0.2,0.23,0.23,0.23,0.23,0.19,0.26,0.2,0.23,0.24,0.22,0.19,0.23,0.22,0.0,0.22,0.2,0.19,0.2,0.18,0.21,0.2,0.21,0.25,0.2,0.18,0.2,0.23,0.19,0.2,0.22,0.31,0.19,0.17,0.0,0.19,0.19,0.21,0.0,0.16,0.18,0.2,0.24,0.21,0.18,0.18,0.17,0.18,0.21,0.17,0.0,0.17,0.15,0.0,0.17,0.17,0.19,0.19,0.18,0.18,0.18,0.18,0.21,0.0,0.18,0.0,0.18,0.16,0.17,0.17,0.16,0.15,0.19,0.17,0.17,0.19,0.17,0.18,0.0,0.16,0.16,0.0,0.16,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.18,0.16,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.0,0.0,0.0,0.16,0.21,0.0,0.0,0.16,0.0,0.16,0.19,0.16,0.16,0.16,0.0,0.0,0.15,0.16,0.0,0.0,0.0,0.0,0.16,0.16,0.17,0.16,0.0,0.0,0.0,0.18,0.0,0.16,0.0,0.0,0.15,0.16,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.400000000000006
