,STLD,OC,RS,FHN,EWBC,LEA,JLL,Y,ACM,UGI,AFG,SBNY,OSK,ARW,KSS,RGA,CPRI,OHI,NNN,JBL,MPW,KRC,ORI,SNV,TCF,XPO,THC,VAC,FAF,PB,AMG,NVST,OLN,AIRC,POST,EME,PNFP,OGE,THO,X,CFR,SON,MDU,BRX,MOH,AYI,MAN,FL,JHG,MTZ,JEF,SKX,CPT,DKS,INGR,JBLU,NCR,BJ,ADS,VNT,VLY,KBR,DEI,AN,NYCB,FLS,CUZ,SLG,NVT,SRC,WTRG,UBSI,AEO,CIT,SNX,STOR,CIEN,OZK,STL,WBS,CFX,THG,CASY,MTG,HXL,AGCO,IDA,LII,PK,CDAY,UTHR,HIW,AVNT,NFG,CR,ADNT,HE,BLDR,GT,RPM,KMPR,UNVR,WTFC,HRB,CAR,LAMR,SIGI,CRI,ITT,NDSN,R,SRCL,AVT,HPP,FNB,CSL,HWC,HRC,CBSH,COHR,SF,UMBF,KBH,HOMB,HUBB,BKH,NJR,TOL,LIVN,PII,ACC,OGS,WRI,KEX,DAN,XRX,DCI,DOC,TMHC,PACW,CMC,SWX,EHC,ATR,CBRL,SR,SEIC,SBRA,EPR,CACI,JWN,WSO,WEX,GNTX,XEC,VSAT,EQT,BOH,LSI,CBT,SCI,ALE,WWD,BC,CNO,MIDD,JBGS,ACHC,ASB,NUVA,TCBI,GATX,MUSA,TNL,RGLD,RNR,NAVI,ASH,CNXC,TDC,FCFS,CC,SAFM,CW,LPX,WH,NWE,FR,VSH,SAIC,CDK,RYN,HOG,SFM,KMT,MUR,G,CATY,VMI,OFC,TRGP,HFC,REXR,PEB,NATI,MAC,DTM,MLHR,AZPN,RBC,GME,GXO,SYNA,CLH,RRX,PFGC,PRGO,NOV,UNM,SGMS,BXS,GBCI,SUM
08/13/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/16/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/17/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/18/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/19/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/20/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/23/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/24/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/25/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/26/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/27/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/30/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
08/31/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
09/01/2021,0.96,0.82,0.77,0.77,0.82,0.77,0.81,0.75,0.75,0.78,0.69,0.74,0.69,0.68,0.69,0.62,0.7,0.69,0.66,0.63,0.58,0.59,0.57,0.52,0.0,0.55,0.58,0.55,0.55,0.54,0.52,0.56,0.53,0.6,0.52,0.54,0.54,0.54,0.5,0.52,0.51,0.54,0.51,0.55,0.55,0.54,0.52,0.51,0.53,0.48,0.55,0.54,0.55,0.53,0.49,0.43,0.48,0.53,0.42,0.44,0.44,0.43,0.45,0.41,0.41,0.42,0.44,0.45,0.42,0.44,0.41,0.39,0.46,0.41,0.41,0.43,0.45,0.41,0.38,0.39,0.44,0.39,0.36,0.37,0.42,0.38,0.4,0.4,0.39,0.42,0.38,0.38,0.36,0.38,0.37,0.34,0.37,0.36,0.38,0.35,0.36,0.33,0.35,0.34,0.32,0.36,0.39,0.37,0.35,0.35,0.32,0.32,0.32,0.34,0.32,0.34,0.31,0.35,0.33,0.34,0.32,0.33,0.29,0.3,0.33,0.33,0.31,0.29,0.33,0.34,0.32,0.32,0.31,0.29,0.28,0.31,0.32,0.32,0.27,0.28,0.3,0.31,0.28,0.29,0.28,0.3,0.29,0.32,0.32,0.28,0.32,0.29,0.29,0.27,0.31,0.27,0.31,0.27,0.32,0.26,0.29,0.29,0.28,0.28,0.25,0.3,0.28,0.28,0.25,0.28,0.26,0.25,0.27,0.25,0.25,0.26,0.28,0.25,0.28,0.28,0.25,0.26,0.3,0.25,0.0,0.25,0.25,0.27,0.24,0.25,0.24,0.24,0.0,0.0,0.24,0.27,0.25,0.0,0.0,0.25,0.63,0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61000000000001
