,TECH,FICO,CGNX,MOH,SEDG,XPO,SBNY,CPT,CDAY,GGG,FDS,MASI,BRO,WSM,MPW,LII,TTC,NDSN,TREX,RPM,RH,STLD,AXON,CREE,JAZZ,FIVE,DAR,DECK,CABO,WTRG,LAD,RGEN,OC,HUBB,AZPN,CSL,EWBC,JLL,MIDD,CLF,UGI,OLED,PEN,Y,LEA,WSO,RS,MANH,SCI,ACM,RUN,LAMR,FHN,NBIX,SYNH,MKSI,ATR,CIEN,CONE,STOR,OHI,AMED,BLDR,WEX,SAM,LSI,CPRI,UTHR,ARW,NNN,OSK,KSS,AFG,G,DCI,EHC,GNTX,ITT,AGCO,LECO,CHE,JBL,BC,RGLD,CBSH,IIVI,PII,HRC,RGA,FSLR,AIRC,REXR,PCTY,RNR,SMG,TPX,IAA,LSCC,KRC,SEIC,THC,WWD,ORI,HOG,MAT,AMG,CHDN,VAC,BRX,CNXC,HQY,BRKS,TTEK,FFIN,SLAB,STAA,FR,YETI,SF,ARWR,PB,SLM,PNFP,LHCG,EME,SKX,SRCL,JEF,SON,EGP,ACC,WH,TXRH,BLD,MDU,NYT,MAN,BJ,SNV,POST,COHR,LITE,FOXF,TOL,FAF,FL,GMED,HALO,CFR,INGR,LFUS,AYI,THO,X,NCR,MSA,JHG,EXP,COR,JCOM,LSTR,CDK,EXEL,ACHC,NATI,HELE,CC,LPX,VVV,EVR,MTZ,PRI,KNX,SLG,CFX,VNT,SRC,SYNA,CUZ,DEI,AEO,IBKR,TDC,JBLU,AN,RBC,MMS,KBR,TKR,VLY,SAIC,OZK,ASGN,ESNT,MEDP,TNL,RYN,NVT,GBCI,HXL,XTSLA,FLS,NYCB,SNX,OLLI,ADS,VMI,THG,HIW,QDEL,NEOG,CRUS,FLO,WING,IART,FCN,GXO WI,CIT,CLH,IRDM,SIGI,MTG,CR,HE,GXO,PACW,BYD,CW,ICUI,SMTC,ASH,CAR,GME,TRGP,CROX,SGMS,GT,HFC,WBS,WOLF,n/a,RRX,ZD,CHX,CADE,SAIL,AVNT,WTFC,STL,SSD,NSA,SUM
08/10/2021,0.84,0.62,0.69,0.7,0.69,0.39,0.64,0.65,0.61,0.6,0.62,0.63,0.57,0.53,0.54,0.52,0.55,0.55,0.55,0.5,0.51,0.57,0.56,0.5,0.41,0.51,0.52,0.55,0.49,0.51,0.49,0.58,0.45,0.49,0.45,0.48,0.48,0.58,0.48,0.5,0.44,0.4,0.4,0.43,0.42,0.41,0.44,0.48,0.48,0.41,0.35,0.43,0.4,0.38,0.4,0.39,0.38,0.4,0.42,0.4,0.37,0.28,0.44,0.36,0.28,0.42,0.4,0.43,0.4,0.38,0.36,0.37,0.41,0.4,0.38,0.36,0.36,0.38,0.38,0.37,0.34,0.36,0.37,0.34,0.34,0.32,0.34,0.4,0.37,0.36,0.37,0.37,0.41,0.35,0.3,0.35,0.33,0.38,0.32,0.33,0.33,0.3,0.32,0.28,0.35,0.31,0.31,0.28,0.31,0.31,0.27,0.29,0.33,0.32,0.32,0.32,0.32,0.34,0.3,0.3,0.29,0.28,0.33,0.27,0.3,0.33,0.28,0.31,0.29,0.31,0.31,0.3,0.27,0.33,0.3,0.31,0.29,0.32,0.29,0.29,0.27,0.28,0.3,0.29,0.34,0.25,0.28,0.24,0.29,0.26,0.29,0.29,0.3,0.31,0.24,0.26,0.29,0.28,0.27,0.26,0.27,0.26,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.26,0.27,0.23,0.26,0.25,0.27,0.27,0.26,0.24,0.0,0.0,0.24,0.0,0.28,0.27,0.0,0.24,0.0,0.25,0.0,0.24,0.25,0.24,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.24,0.26,0.23,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.29,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72
08/11/2021,0.84,0.62,0.69,0.7,0.69,0.39,0.64,0.65,0.61,0.6,0.62,0.63,0.57,0.53,0.54,0.52,0.55,0.55,0.55,0.5,0.51,0.57,0.56,0.5,0.41,0.51,0.52,0.55,0.49,0.51,0.49,0.58,0.45,0.49,0.45,0.48,0.48,0.58,0.48,0.5,0.44,0.4,0.4,0.43,0.42,0.41,0.44,0.48,0.48,0.41,0.35,0.43,0.4,0.38,0.4,0.39,0.38,0.4,0.42,0.4,0.37,0.28,0.44,0.36,0.28,0.42,0.4,0.43,0.4,0.38,0.36,0.37,0.41,0.4,0.38,0.36,0.36,0.38,0.38,0.37,0.34,0.36,0.37,0.34,0.34,0.32,0.34,0.4,0.37,0.36,0.37,0.37,0.41,0.35,0.3,0.35,0.33,0.38,0.32,0.33,0.33,0.3,0.32,0.28,0.35,0.31,0.31,0.28,0.31,0.31,0.27,0.29,0.33,0.32,0.32,0.32,0.32,0.34,0.3,0.3,0.29,0.28,0.33,0.27,0.3,0.33,0.28,0.31,0.29,0.31,0.31,0.3,0.27,0.33,0.3,0.31,0.29,0.32,0.29,0.29,0.27,0.28,0.3,0.29,0.34,0.25,0.28,0.24,0.29,0.26,0.29,0.29,0.3,0.31,0.24,0.26,0.29,0.28,0.27,0.26,0.27,0.26,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.26,0.27,0.23,0.26,0.25,0.27,0.27,0.26,0.24,0.0,0.0,0.24,0.0,0.28,0.27,0.0,0.24,0.0,0.25,0.0,0.24,0.25,0.24,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.24,0.26,0.23,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.29,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72
08/12/2021,0.84,0.61,0.69,0.69,0.69,0.39,0.66,0.64,0.63,0.6,0.62,0.63,0.58,0.53,0.54,0.52,0.55,0.54,0.54,0.5,0.52,0.58,0.56,0.5,0.41,0.53,0.53,0.54,0.49,0.51,0.49,0.59,0.45,0.49,0.45,0.48,0.48,0.58,0.48,0.51,0.45,0.4,0.4,0.43,0.41,0.41,0.44,0.46,0.49,0.42,0.37,0.43,0.4,0.38,0.39,0.39,0.39,0.4,0.41,0.4,0.37,0.29,0.44,0.36,0.29,0.42,0.4,0.42,0.4,0.38,0.36,0.38,0.41,0.4,0.39,0.36,0.36,0.38,0.38,0.38,0.34,0.36,0.36,0.34,0.34,0.32,0.33,0.39,0.36,0.36,0.36,0.37,0.42,0.35,0.3,0.35,0.32,0.37,0.32,0.33,0.33,0.3,0.32,0.28,0.35,0.31,0.3,0.27,0.31,0.31,0.27,0.29,0.33,0.32,0.32,0.32,0.32,0.34,0.3,0.3,0.29,0.27,0.33,0.27,0.29,0.32,0.28,0.32,0.29,0.31,0.31,0.3,0.27,0.33,0.3,0.31,0.29,0.32,0.29,0.29,0.27,0.28,0.3,0.29,0.34,0.26,0.28,0.24,0.29,0.26,0.29,0.28,0.3,0.33,0.24,0.26,0.3,0.28,0.27,0.26,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.27,0.27,0.23,0.26,0.26,0.26,0.27,0.26,0.24,0.23,0.0,0.24,0.0,0.29,0.27,0.23,0.24,0.0,0.25,0.0,0.0,0.25,0.24,0.0,0.0,0.0,0.25,0.23,0.0,0.0,0.23,0.26,0.0,0.23,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.23,0.0,0.3,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.77000000000001
08/13/2021,0.81,0.6,0.68,0.67,0.69,0.4,0.66,0.63,0.63,0.59,0.62,0.61,0.58,0.55,0.52,0.53,0.55,0.54,0.54,0.5,0.55,0.62,0.54,0.49,0.39,0.55,0.54,0.54,0.49,0.5,0.5,0.58,0.45,0.49,0.45,0.48,0.48,0.58,0.48,0.54,0.44,0.4,0.4,0.43,0.41,0.41,0.45,0.46,0.49,0.41,0.36,0.42,0.4,0.37,0.39,0.38,0.38,0.39,0.41,0.39,0.37,0.28,0.46,0.36,0.28,0.41,0.41,0.41,0.39,0.37,0.37,0.39,0.42,0.4,0.39,0.36,0.36,0.38,0.39,0.38,0.33,0.36,0.37,0.33,0.34,0.31,0.34,0.38,0.37,0.37,0.35,0.37,0.42,0.35,0.29,0.35,0.32,0.37,0.32,0.33,0.31,0.3,0.32,0.28,0.35,0.31,0.31,0.28,0.31,0.3,0.27,0.29,0.34,0.32,0.32,0.3,0.32,0.34,0.3,0.29,0.29,0.27,0.33,0.26,0.3,0.33,0.28,0.32,0.29,0.31,0.3,0.3,0.27,0.33,0.3,0.31,0.29,0.33,0.29,0.29,0.26,0.27,0.3,0.3,0.34,0.26,0.27,0.25,0.3,0.26,0.3,0.29,0.3,0.34,0.25,0.26,0.3,0.29,0.27,0.26,0.27,0.25,0.24,0.26,0.25,0.26,0.25,0.27,0.25,0.25,0.24,0.27,0.27,0.23,0.26,0.26,0.26,0.27,0.26,0.24,0.24,0.0,0.25,0.0,0.29,0.27,0.23,0.24,0.24,0.25,0.0,0.0,0.25,0.24,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.24,0.23,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.0,0.3,0.24,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75
08/16/2021,0.81,0.58,0.65,0.65,0.68,0.4,0.67,0.63,0.63,0.59,0.61,0.6,0.58,0.56,0.52,0.52,0.55,0.55,0.56,0.5,0.56,0.65,0.54,0.47,0.39,0.56,0.56,0.54,0.5,0.49,0.5,0.58,0.46,0.5,0.38,0.48,0.49,0.58,0.45,0.53,0.44,0.38,0.4,0.43,0.41,0.41,0.45,0.44,0.49,0.42,0.36,0.42,0.4,0.37,0.39,0.36,0.39,0.39,0.42,0.39,0.37,0.27,0.48,0.35,0.27,0.41,0.41,0.41,0.39,0.37,0.37,0.39,0.42,0.4,0.39,0.35,0.35,0.38,0.4,0.38,0.33,0.36,0.37,0.33,0.34,0.3,0.35,0.39,0.36,0.37,0.35,0.37,0.43,0.35,0.29,0.36,0.32,0.36,0.32,0.33,0.33,0.31,0.33,0.29,0.34,0.32,0.3,0.28,0.31,0.31,0.26,0.28,0.34,0.32,0.32,0.29,0.32,0.34,0.31,0.28,0.29,0.27,0.33,0.26,0.29,0.32,0.27,0.32,0.29,0.31,0.3,0.3,0.27,0.33,0.3,0.31,0.3,0.32,0.29,0.3,0.27,0.27,0.3,0.31,0.34,0.26,0.27,0.25,0.3,0.26,0.3,0.29,0.3,0.34,0.26,0.26,0.3,0.29,0.27,0.26,0.28,0.25,0.25,0.25,0.25,0.26,0.26,0.28,0.25,0.25,0.24,0.27,0.27,0.23,0.26,0.26,0.26,0.27,0.26,0.0,0.23,0.23,0.26,0.0,0.28,0.28,0.23,0.25,0.24,0.24,0.0,0.24,0.25,0.24,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.24,0.26,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.35,0.24,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.73
08/17/2021,0.81,0.58,0.65,0.65,0.66,0.41,0.67,0.64,0.63,0.59,0.62,0.6,0.58,0.54,0.53,0.52,0.55,0.55,0.56,0.51,0.55,0.66,0.54,0.47,0.38,0.56,0.57,0.54,0.5,0.49,0.5,0.59,0.45,0.5,0.39,0.49,0.48,0.57,0.44,0.53,0.45,0.38,0.39,0.43,0.42,0.41,0.45,0.45,0.49,0.42,0.34,0.43,0.4,0.38,0.4,0.36,0.39,0.39,0.41,0.39,0.37,0.26,0.48,0.35,0.27,0.41,0.4,0.41,0.39,0.38,0.36,0.38,0.42,0.41,0.39,0.35,0.35,0.38,0.39,0.38,0.33,0.36,0.37,0.34,0.33,0.3,0.34,0.4,0.36,0.37,0.35,0.37,0.42,0.36,0.28,0.36,0.33,0.36,0.32,0.33,0.34,0.31,0.33,0.28,0.34,0.32,0.3,0.28,0.31,0.31,0.26,0.28,0.34,0.31,0.32,0.29,0.32,0.34,0.31,0.28,0.29,0.27,0.33,0.26,0.29,0.32,0.27,0.31,0.29,0.31,0.3,0.3,0.26,0.33,0.3,0.31,0.3,0.31,0.29,0.3,0.26,0.27,0.3,0.31,0.34,0.26,0.27,0.25,0.3,0.27,0.31,0.29,0.3,0.35,0.26,0.26,0.3,0.29,0.28,0.26,0.28,0.25,0.26,0.25,0.25,0.26,0.26,0.27,0.25,0.25,0.24,0.27,0.28,0.23,0.26,0.26,0.26,0.27,0.26,0.24,0.23,0.0,0.27,0.0,0.28,0.28,0.23,0.25,0.24,0.24,0.0,0.0,0.25,0.24,0.0,0.0,0.0,0.25,0.23,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.36,0.0,0.0,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72
08/18/2021,0.81,0.58,0.65,0.65,0.66,0.41,0.67,0.64,0.63,0.59,0.62,0.6,0.58,0.54,0.53,0.52,0.55,0.55,0.56,0.51,0.55,0.66,0.54,0.47,0.38,0.56,0.57,0.54,0.5,0.49,0.5,0.59,0.45,0.5,0.39,0.49,0.48,0.57,0.44,0.53,0.45,0.38,0.39,0.43,0.42,0.41,0.45,0.45,0.49,0.42,0.34,0.43,0.4,0.38,0.4,0.36,0.39,0.39,0.41,0.39,0.37,0.26,0.48,0.35,0.27,0.41,0.4,0.41,0.39,0.38,0.36,0.38,0.42,0.41,0.39,0.35,0.35,0.38,0.39,0.38,0.33,0.36,0.37,0.34,0.33,0.3,0.34,0.4,0.36,0.37,0.35,0.37,0.42,0.36,0.28,0.36,0.33,0.36,0.32,0.33,0.34,0.31,0.33,0.28,0.34,0.32,0.3,0.28,0.31,0.31,0.26,0.28,0.34,0.31,0.32,0.29,0.32,0.34,0.31,0.28,0.29,0.27,0.33,0.26,0.29,0.32,0.27,0.31,0.29,0.31,0.3,0.3,0.26,0.33,0.3,0.31,0.3,0.31,0.29,0.3,0.26,0.27,0.3,0.31,0.34,0.26,0.27,0.25,0.3,0.27,0.31,0.29,0.3,0.35,0.26,0.26,0.3,0.29,0.28,0.26,0.28,0.25,0.26,0.25,0.25,0.26,0.26,0.27,0.25,0.25,0.24,0.27,0.28,0.23,0.26,0.26,0.26,0.27,0.26,0.24,0.23,0.0,0.27,0.0,0.28,0.28,0.23,0.25,0.24,0.24,0.0,0.0,0.25,0.24,0.0,0.0,0.0,0.25,0.23,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.36,0.0,0.0,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72
08/19/2021,0.83,0.58,0.66,0.66,0.65,0.41,0.66,0.64,0.63,0.6,0.64,0.61,0.59,0.56,0.53,0.52,0.55,0.56,0.56,0.51,0.54,0.65,0.54,0.45,0.38,0.57,0.58,0.54,0.51,0.5,0.5,0.59,0.45,0.5,0.39,0.49,0.48,0.56,0.45,0.52,0.44,0.38,0.39,0.43,0.42,0.41,0.44,0.45,0.49,0.42,0.32,0.42,0.4,0.38,0.4,0.37,0.39,0.39,0.42,0.39,0.36,0.27,0.48,0.35,0.26,0.42,0.39,0.4,0.39,0.38,0.36,0.38,0.42,0.41,0.39,0.35,0.36,0.38,0.39,0.38,0.33,0.36,0.37,0.34,0.33,0.29,0.34,0.4,0.36,0.37,0.36,0.37,0.42,0.36,0.28,0.36,0.32,0.36,0.32,0.33,0.34,0.3,0.33,0.28,0.34,0.32,0.29,0.28,0.31,0.31,0.24,0.27,0.34,0.31,0.32,0.3,0.32,0.34,0.3,0.28,0.3,0.27,0.33,0.26,0.29,0.32,0.27,0.31,0.29,0.31,0.3,0.3,0.26,0.33,0.3,0.32,0.3,0.32,0.29,0.3,0.27,0.27,0.3,0.31,0.34,0.26,0.27,0.25,0.29,0.27,0.31,0.29,0.3,0.35,0.25,0.27,0.3,0.29,0.28,0.25,0.28,0.25,0.26,0.25,0.25,0.26,0.25,0.27,0.25,0.25,0.0,0.27,0.28,0.23,0.26,0.26,0.26,0.27,0.26,0.24,0.0,0.23,0.27,0.0,0.3,0.28,0.0,0.25,0.24,0.24,0.0,0.0,0.26,0.24,0.23,0.0,0.23,0.25,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.36,0.0,0.23,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.74000000000001
08/20/2021,0.84,0.6,0.66,0.69,0.63,0.41,0.65,0.65,0.63,0.6,0.64,0.64,0.6,0.56,0.53,0.52,0.54,0.56,0.54,0.51,0.53,0.63,0.54,0.45,0.38,0.57,0.56,0.53,0.51,0.5,0.46,0.6,0.45,0.5,0.39,0.5,0.47,0.56,0.45,0.51,0.45,0.38,0.39,0.44,0.41,0.41,0.44,0.45,0.5,0.42,0.32,0.43,0.4,0.39,0.41,0.36,0.4,0.39,0.42,0.4,0.37,0.28,0.47,0.35,0.27,0.42,0.38,0.42,0.4,0.38,0.36,0.37,0.43,0.41,0.39,0.36,0.35,0.38,0.38,0.38,0.33,0.36,0.36,0.34,0.33,0.29,0.34,0.4,0.36,0.36,0.36,0.38,0.43,0.37,0.28,0.36,0.32,0.35,0.32,0.33,0.34,0.31,0.34,0.28,0.34,0.31,0.29,0.28,0.31,0.31,0.0,0.27,0.34,0.31,0.32,0.31,0.33,0.33,0.3,0.29,0.3,0.27,0.33,0.26,0.29,0.3,0.27,0.32,0.3,0.32,0.3,0.29,0.27,0.32,0.3,0.32,0.3,0.33,0.29,0.31,0.27,0.28,0.29,0.3,0.34,0.25,0.28,0.25,0.3,0.27,0.31,0.29,0.29,0.35,0.25,0.27,0.3,0.29,0.28,0.25,0.28,0.25,0.27,0.26,0.24,0.26,0.25,0.26,0.25,0.25,0.0,0.27,0.28,0.23,0.26,0.26,0.26,0.27,0.27,0.24,0.0,0.23,0.26,0.0,0.28,0.28,0.24,0.25,0.24,0.24,0.23,0.0,0.25,0.24,0.23,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.34,0.0,0.23,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.78
08/23/2021,0.86,0.59,0.68,0.71,0.63,0.4,0.64,0.66,0.64,0.6,0.64,0.65,0.62,0.56,0.54,0.52,0.54,0.57,0.56,0.5,0.52,0.62,0.54,0.43,0.37,0.57,0.55,0.55,0.51,0.5,0.46,0.61,0.44,0.5,0.4,0.49,0.46,0.56,0.46,0.49,0.45,0.4,0.4,0.45,0.39,0.42,0.44,0.46,0.5,0.42,0.31,0.43,0.4,0.39,0.41,0.36,0.4,0.39,0.43,0.39,0.36,0.27,0.46,0.35,0.26,0.43,0.37,0.42,0.4,0.38,0.36,0.4,0.43,0.41,0.39,0.35,0.35,0.37,0.37,0.38,0.34,0.36,0.35,0.33,0.33,0.29,0.33,0.41,0.37,0.37,0.36,0.38,0.43,0.38,0.29,0.36,0.32,0.36,0.32,0.33,0.34,0.32,0.34,0.28,0.34,0.31,0.3,0.27,0.31,0.31,0.24,0.27,0.34,0.31,0.32,0.3,0.33,0.33,0.3,0.28,0.3,0.27,0.32,0.26,0.3,0.31,0.28,0.31,0.3,0.32,0.31,0.3,0.27,0.33,0.3,0.33,0.3,0.34,0.29,0.31,0.28,0.3,0.28,0.3,0.34,0.26,0.28,0.24,0.29,0.26,0.31,0.29,0.29,0.34,0.24,0.27,0.3,0.29,0.29,0.25,0.28,0.23,0.26,0.25,0.25,0.26,0.24,0.27,0.25,0.25,0.0,0.27,0.28,0.23,0.25,0.27,0.26,0.27,0.26,0.24,0.0,0.23,0.26,0.0,0.28,0.28,0.24,0.24,0.0,0.24,0.0,0.23,0.25,0.24,0.23,0.0,0.0,0.25,0.0,0.0,0.0,0.23,0.26,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.36,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.87
08/24/2021,0.85,0.58,0.69,0.71,0.64,0.39,0.65,0.66,0.64,0.6,0.64,0.65,0.62,0.57,0.54,0.52,0.54,0.57,0.57,0.5,0.53,0.61,0.55,0.44,0.37,0.58,0.52,0.55,0.51,0.5,0.45,0.61,0.44,0.5,0.39,0.49,0.46,0.56,0.46,0.48,0.45,0.4,0.41,0.44,0.39,0.41,0.44,0.46,0.49,0.42,0.31,0.43,0.4,0.4,0.41,0.36,0.4,0.39,0.43,0.39,0.35,0.26,0.47,0.36,0.25,0.43,0.38,0.42,0.4,0.38,0.35,0.41,0.43,0.41,0.39,0.35,0.35,0.37,0.37,0.37,0.34,0.36,0.36,0.33,0.34,0.29,0.33,0.41,0.36,0.37,0.36,0.38,0.43,0.37,0.29,0.36,0.32,0.36,0.31,0.33,0.35,0.32,0.34,0.28,0.34,0.31,0.3,0.28,0.31,0.31,0.24,0.27,0.34,0.32,0.32,0.28,0.33,0.34,0.3,0.29,0.3,0.27,0.33,0.26,0.3,0.31,0.28,0.32,0.3,0.32,0.31,0.3,0.27,0.33,0.3,0.33,0.3,0.36,0.29,0.31,0.28,0.29,0.29,0.31,0.34,0.28,0.28,0.24,0.3,0.26,0.31,0.3,0.29,0.33,0.24,0.27,0.3,0.29,0.29,0.26,0.28,0.0,0.26,0.26,0.25,0.26,0.24,0.27,0.25,0.25,0.23,0.27,0.28,0.0,0.25,0.27,0.26,0.27,0.26,0.24,0.0,0.23,0.26,0.0,0.28,0.27,0.24,0.24,0.23,0.24,0.0,0.23,0.26,0.24,0.23,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.26,0.24,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.36,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.97000000000001
08/25/2021,0.85,0.58,0.69,0.71,0.64,0.39,0.65,0.66,0.64,0.6,0.64,0.65,0.62,0.57,0.54,0.52,0.54,0.57,0.57,0.5,0.53,0.61,0.55,0.44,0.37,0.58,0.52,0.55,0.51,0.5,0.45,0.61,0.44,0.5,0.39,0.49,0.46,0.56,0.46,0.48,0.45,0.4,0.41,0.44,0.39,0.41,0.44,0.46,0.49,0.42,0.31,0.43,0.4,0.4,0.41,0.36,0.4,0.39,0.43,0.39,0.35,0.26,0.47,0.36,0.25,0.43,0.38,0.42,0.4,0.38,0.35,0.41,0.43,0.41,0.39,0.35,0.35,0.37,0.37,0.37,0.34,0.36,0.36,0.33,0.34,0.29,0.33,0.41,0.36,0.37,0.36,0.38,0.43,0.37,0.29,0.36,0.32,0.36,0.31,0.33,0.35,0.32,0.34,0.28,0.34,0.31,0.3,0.28,0.31,0.31,0.24,0.27,0.34,0.32,0.32,0.28,0.33,0.34,0.3,0.29,0.3,0.27,0.33,0.26,0.3,0.31,0.28,0.32,0.3,0.32,0.31,0.3,0.27,0.33,0.3,0.33,0.3,0.36,0.29,0.31,0.28,0.29,0.29,0.31,0.34,0.28,0.28,0.24,0.3,0.26,0.31,0.3,0.29,0.33,0.24,0.27,0.3,0.29,0.29,0.26,0.28,0.0,0.26,0.26,0.25,0.26,0.24,0.27,0.25,0.25,0.23,0.27,0.28,0.0,0.25,0.27,0.26,0.27,0.26,0.24,0.0,0.23,0.26,0.0,0.28,0.27,0.24,0.24,0.23,0.24,0.0,0.23,0.26,0.24,0.23,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.26,0.24,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.97000000000001
