,700.HK,9988,2330.TW,005930.KS,3690.HK,RELIANCE.NS,NPN.JO,VALE3.SA,939,INFY.NS,9618.HK,HDFC.NS,NIO,000660.KS,2269.HK,2318,005935,2454.TW,035420.KS,9888,2317.TW,1398,TCS.NS,GAZP.ME,SBER.ME,ICICIBANK.NS,PDD,9999,035720.KS,1120.SR,3968,051910.KS,LKOH.ME,600519,006400.KS,ITUB4.SA,005380.KS,1180.SR,HINDUNILVR.NS,YUMC,2010.SR,BBDC4.SA,3988,9626,KOTAKBANK.NS,PETR4.SA,2020.HK,BBCA.JK,005490.KS,QNBK.QA,068270.KS,AXISBANK.NS,1211,1024.HK,2382.HK,2331.HK,NBK,2303.TW,PETR3,000270.KS,BAJFINANCE.NS,7010.SR,2308.TW,B3SA3.SA,NVTK.ME,GMKN.ME,2313.HK,105560.KS,FAB,FSR.JO,2881.TW,055550.KS,ROSN.ME,2002.TW,2222.SR,AMXL.MX,175.HK,2057.HK,BHARTIARTL.NS,ASIANPAINT.NS,012330.KS,GFNORTEO.MX,9961,1301.TW,2319.HK,6098.HK,2882.TW,ABEV3.SA,2628,GMEXICOB.MX,WALMEX.MX,2688.HK,2891.TW,HCLTECH.NS,000858,PBBANK.KL,BBRI.JK,LT.NS,096770.KS,2412.TW,FEMSAUBD.MX,MARUTI.NS,MAYBANK.KL,1216.TW,MTN.JO,051900.KS,2603.TW,1303.TW,3328,2886.TW,1093.HK,IMP.JO,066570.KS,3711.TW,291.HK,TATN.ME,KFH,600036,6160.HK,9901,086790.KS,1326.TW,TATASTEEL.NS,SSW.JO,028260.KS,036570.KS,386,2884.TW,OTP.BD,None,CEMEXCPO.MX,1109.HK,9688.HK,2388.HK,MGLU3.SA,ULTRACEMCO.NS,TLKM.JK,ITSA4.SA,PTT-R,2333,IHC,None.1,207940.KS,JSWSTEEL.NS,2885.TW,1177.HK,SBK.JO,003550.KS,011200.KS,1801.HK,868.HK,WIPRO.NS,2615.TW,1288,857,SM.PM,TITAN.NS,5871.TW,017670.KS,DRREDDY.NS,2007.HK,1918.HK,6969.HK,TAL,2379.TW,NTCO3.SA,BBAS3.SA,2382.TW,WEGE3.SA,SUNPHARMA.NS,TECHM.NS,M&M.NS,SBIN.NS,268.HK,2609.TW,9698.HK,TATAMOTORS.NS,1101.TW,3008.TW,241.HK,968.HK,GFI.JO,009150.KS,6415.TW,CPI.JO,3034.TW,SLM.JO,2357.TW,1010.SR,033780.KS,960.HK,SOL.JO,6690,2207.TW,9633.HK,NTPC.NS,ANG.JO,AOT-R,091990.KQ,2601,DIVISLAB.NS,CPALL-,2899,2892.TW,GRASIM.NS,ETISAL,RENT3.SA,2020.SR,ITC.NS,DELTA-,688.HK,2359,5880.TW,POWERGRID.NS,GNDI3.SA,BAP,IQCD.QA,HINDALCO.NS,BJFIN,BMRI.JK,SUZB3.SA,034730.KS,SMPH.PM,TLEVISACPO.MX,BID.JO,1211.SR,SQM/B,CIMB.KL,ADANIPORTS.NS,RDOR3.SA,NESTLEIND.NS,TATACONSUM.NS,BAJAJFINSV.NS,2899.HK,914,HDFCLIFE.NS,ASII.JK,323410.KS,259960.KS,XPEV,6618.HK,DMART.NS,005930.KQ,BEKE,9961.HK,LI,2887.TW,EMIRATESNBD.DB,ONGC.NS,SUM
09/06/2021,5.43,4.51,5.81,4.72,1.92,1.41,0.64,0.93,1.0,1.17,1.02,0.96,0.76,0.7,0.66,0.62,0.7,0.76,0.78,0.64,0.71,0.59,0.76,0.74,0.67,0.72,0.51,0.55,0.57,0.56,0.47,0.4,0.46,0.38,0.49,0.4,0.36,0.47,0.47,0.38,0.4,0.3,0.37,0.25,0.37,0.31,0.31,0.37,0.32,0.35,0.34,0.35,0.38,0.14,0.32,0.39,0.34,0.38,0.28,0.28,0.38,0.31,0.27,0.24,0.35,0.28,0.25,0.25,0.29,0.32,0.31,0.24,0.26,0.26,0.27,0.33,0.29,0.26,0.33,0.29,0.22,0.23,0.22,0.23,0.23,0.2,0.25,0.22,0.18,0.22,0.24,0.22,0.23,0.26,0.14,0.2,0.2,0.24,0.18,0.21,0.22,0.18,0.2,0.19,0.23,0.16,0.16,0.21,0.17,0.19,0.16,0.16,0.16,0.22,0.17,0.16,0.19,0.16,0.18,0.0,0.17,0.18,0.2,0.15,0.16,0.12,0.17,0.18,0.19,0.25,0.16,0.17,0.15,0.16,0.14,0.2,0.16,0.15,0.14,0.21,0.22,0.0,0.19,0.16,0.15,0.14,0.18,0.12,0.12,0.0,0.14,0.18,0.13,0.14,0.13,0.15,0.17,0.18,0.14,0.12,0.14,0.12,0.13,0.0,0.15,0.12,0.12,0.13,0.15,0.17,0.19,0.13,0.14,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.14,0.13,0.13,0.15,0.14,0.12,0.13,0.0,0.13,0.12,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.15,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.11,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71
09/08/2021,5.33,4.34,5.93,4.76,1.85,1.47,0.64,0.93,1.0,1.18,1.01,0.95,0.76,0.7,0.67,0.61,0.7,0.75,0.8,0.62,0.72,0.59,0.75,0.75,0.67,0.72,0.51,0.54,0.58,0.56,0.47,0.41,0.45,0.38,0.49,0.39,0.37,0.47,0.46,0.38,0.4,0.3,0.37,0.25,0.37,0.3,0.31,0.37,0.33,0.35,0.34,0.35,0.37,0.14,0.32,0.39,0.34,0.42,0.28,0.28,0.38,0.31,0.27,0.24,0.35,0.28,0.25,0.25,0.29,0.32,0.32,0.24,0.26,0.26,0.27,0.33,0.28,0.27,0.32,0.29,0.22,0.23,0.22,0.24,0.24,0.2,0.26,0.21,0.18,0.22,0.24,0.22,0.23,0.26,0.14,0.21,0.21,0.24,0.18,0.21,0.22,0.18,0.21,0.19,0.24,0.16,0.16,0.21,0.17,0.19,0.17,0.16,0.17,0.22,0.17,0.16,0.19,0.16,0.19,0.0,0.17,0.18,0.21,0.16,0.16,0.12,0.18,0.18,0.19,0.23,0.16,0.18,0.15,0.15,0.15,0.2,0.17,0.14,0.14,0.2,0.22,0.0,0.19,0.16,0.15,0.14,0.18,0.13,0.12,0.0,0.14,0.18,0.12,0.14,0.13,0.15,0.18,0.18,0.14,0.12,0.14,0.12,0.13,0.0,0.15,0.12,0.12,0.13,0.15,0.17,0.19,0.13,0.14,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.14,0.13,0.13,0.15,0.14,0.12,0.13,0.12,0.13,0.12,0.0,0.12,0.13,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.15,0.12,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71000000000001
09/09/2021,5.33,4.34,5.93,4.76,1.85,1.47,0.64,0.93,1.0,1.18,1.01,0.95,0.76,0.7,0.67,0.61,0.7,0.75,0.8,0.62,0.72,0.59,0.75,0.75,0.67,0.72,0.51,0.54,0.58,0.56,0.47,0.41,0.45,0.38,0.49,0.39,0.37,0.47,0.46,0.38,0.4,0.3,0.37,0.25,0.37,0.3,0.31,0.37,0.33,0.35,0.34,0.35,0.37,0.14,0.32,0.39,0.34,0.42,0.28,0.28,0.38,0.31,0.27,0.24,0.35,0.28,0.25,0.25,0.29,0.32,0.32,0.24,0.26,0.26,0.27,0.33,0.28,0.27,0.32,0.29,0.22,0.23,0.22,0.24,0.24,0.2,0.26,0.21,0.18,0.22,0.24,0.22,0.23,0.26,0.14,0.21,0.21,0.24,0.18,0.21,0.22,0.18,0.21,0.19,0.24,0.16,0.16,0.21,0.17,0.19,0.17,0.16,0.17,0.22,0.17,0.16,0.19,0.16,0.19,0.0,0.17,0.18,0.21,0.16,0.16,0.12,0.18,0.18,0.19,0.23,0.16,0.18,0.15,0.15,0.15,0.2,0.17,0.14,0.14,0.2,0.22,0.0,0.19,0.16,0.15,0.14,0.18,0.13,0.12,0.0,0.14,0.18,0.12,0.14,0.13,0.15,0.18,0.18,0.14,0.12,0.14,0.12,0.13,0.0,0.15,0.12,0.12,0.13,0.15,0.17,0.19,0.13,0.14,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.14,0.13,0.13,0.15,0.14,0.12,0.13,0.12,0.13,0.12,0.0,0.12,0.13,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.15,0.12,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71000000000001
09/10/2021,5.58,4.44,5.92,4.69,1.93,1.48,0.66,0.9,0.99,1.16,1.02,0.96,0.76,0.68,0.69,0.61,0.7,0.73,0.78,0.64,0.69,0.59,0.74,0.76,0.65,0.7,0.53,0.55,0.56,0.57,0.47,0.42,0.44,0.38,0.5,0.4,0.36,0.46,0.46,0.38,0.4,0.3,0.37,0.26,0.36,0.3,0.31,0.37,0.34,0.35,0.33,0.34,0.39,0.16,0.31,0.41,0.34,0.4,0.28,0.28,0.38,0.31,0.27,0.24,0.36,0.28,0.25,0.24,0.29,0.31,0.32,0.24,0.25,0.27,0.26,0.33,0.29,0.27,0.32,0.28,0.22,0.23,0.22,0.23,0.24,0.19,0.25,0.22,0.18,0.21,0.24,0.22,0.23,0.26,0.15,0.2,0.21,0.23,0.18,0.21,0.21,0.18,0.2,0.19,0.23,0.16,0.16,0.21,0.17,0.19,0.16,0.15,0.16,0.21,0.16,0.15,0.18,0.16,0.19,0.0,0.16,0.18,0.2,0.15,0.15,0.12,0.18,0.18,0.19,0.23,0.15,0.17,0.15,0.16,0.15,0.2,0.16,0.15,0.14,0.21,0.22,0.0,0.19,0.16,0.15,0.14,0.18,0.12,0.12,0.0,0.14,0.18,0.12,0.15,0.13,0.15,0.18,0.18,0.13,0.12,0.13,0.0,0.14,0.0,0.15,0.12,0.12,0.12,0.15,0.16,0.19,0.13,0.14,0.12,0.0,0.0,0.0,0.12,0.0,0.11,0.14,0.12,0.13,0.14,0.15,0.12,0.13,0.0,0.13,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.15,0.12,0.12,0.12,0.13,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.13,0.0,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.73000000000002
09/13/2021,5.3,4.29,5.98,4.69,1.9,1.5,0.62,0.88,1.01,1.18,1.0,0.98,0.73,0.68,0.7,0.61,0.71,0.74,0.71,0.62,0.69,0.6,0.75,0.78,0.67,0.72,0.53,0.5,0.48,0.59,0.48,0.42,0.45,0.38,0.49,0.38,0.36,0.47,0.47,0.38,0.41,0.28,0.38,0.24,0.38,0.29,0.32,0.37,0.34,0.36,0.32,0.35,0.38,0.15,0.32,0.41,0.35,0.41,0.27,0.28,0.38,0.32,0.27,0.23,0.37,0.28,0.25,0.25,0.32,0.31,0.33,0.25,0.26,0.27,0.27,0.33,0.28,0.28,0.34,0.29,0.22,0.23,0.22,0.24,0.25,0.19,0.26,0.21,0.18,0.21,0.25,0.22,0.23,0.27,0.15,0.21,0.2,0.23,0.18,0.21,0.22,0.18,0.21,0.18,0.23,0.15,0.16,0.21,0.17,0.19,0.16,0.14,0.16,0.21,0.16,0.16,0.19,0.16,0.19,0.0,0.16,0.18,0.21,0.15,0.15,0.12,0.17,0.18,0.2,0.23,0.15,0.17,0.15,0.16,0.15,0.2,0.17,0.14,0.14,0.2,0.22,0.0,0.18,0.16,0.15,0.14,0.18,0.12,0.12,0.0,0.13,0.18,0.12,0.15,0.13,0.15,0.18,0.18,0.13,0.0,0.14,0.0,0.14,0.0,0.14,0.12,0.12,0.12,0.16,0.17,0.19,0.13,0.14,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.14,0.12,0.13,0.15,0.15,0.12,0.13,0.12,0.13,0.12,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.14,0.0,0.12,0.12,0.13,0.14,0.0,0.12,0.12,0.14,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.14,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.45
09/24/2021,5.04,4.05,5.9,4.88,1.73,1.53,0.51,0.9,0.98,1.23,0.98,0.98,0.69,0.72,0.73,0.55,0.73,0.79,0.73,0.63,0.72,0.55,0.78,0.81,0.68,0.73,0.59,0.48,0.45,0.59,0.42,0.4,0.48,0.41,0.48,0.37,0.37,0.48,0.49,0.34,0.42,0.27,0.38,0.22,0.43,0.3,0.3,0.38,0.35,0.36,0.34,0.36,0.36,0.25,0.3,0.39,0.36,0.41,0.27,0.28,0.41,0.32,0.26,0.23,0.36,0.27,0.25,0.25,0.32,0.31,0.34,0.25,0.26,0.27,0.27,0.32,0.24,0.28,0.36,0.29,0.16,0.22,0.2,0.24,0.26,0.16,0.26,0.2,0.18,0.2,0.26,0.21,0.24,0.3,0.15,0.21,0.21,0.25,0.18,0.22,0.23,0.18,0.21,0.19,0.23,0.15,0.17,0.23,0.17,0.2,0.16,0.13,0.16,0.21,0.15,0.15,0.19,0.17,0.29,0.0,0.17,0.19,0.19,0.13,0.16,0.12,0.18,0.19,0.19,0.14,0.15,0.16,0.13,0.16,0.13,0.19,0.18,0.14,0.15,0.19,0.26,0.0,0.19,0.15,0.16,0.13,0.17,0.13,0.13,0.0,0.0,0.19,0.13,0.15,0.15,0.15,0.18,0.18,0.14,0.0,0.0,0.0,0.12,0.0,0.15,0.12,0.12,0.13,0.16,0.17,0.2,0.13,0.15,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.12,0.13,0.15,0.15,0.0,0.13,0.0,0.14,0.12,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.15,0.12,0.12,0.12,0.13,0.14,0.0,0.12,0.14,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.12,0.0,0.14,0.0,0.0,0.0,0.0,0.21,0.2,0.16,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.37
09/27/2021,5.15,4.01,5.73,0.0,1.81,1.57,0.53,0.83,0.99,1.23,0.99,0.99,0.7,0.71,0.72,0.55,0.72,0.76,0.72,0.63,0.7,0.54,0.78,0.83,0.69,0.73,0.61,0.48,0.43,0.58,0.43,0.43,0.5,0.39,0.48,0.39,0.36,0.47,0.48,0.35,0.41,0.28,0.38,0.22,0.43,0.32,0.29,0.38,0.33,0.36,0.34,0.36,0.36,0.25,0.3,0.37,0.36,0.4,0.29,0.28,0.41,0.31,0.26,0.24,0.37,0.28,0.25,0.25,0.32,0.32,0.33,0.25,0.28,0.25,0.27,0.33,0.23,0.28,0.36,0.29,0.16,0.23,0.2,0.24,0.27,0.18,0.26,0.21,0.18,0.2,0.26,0.2,0.23,0.3,0.14,0.21,0.22,0.25,0.18,0.22,0.23,0.18,0.21,0.19,0.25,0.15,0.17,0.22,0.17,0.2,0.16,0.14,0.16,0.21,0.15,0.16,0.19,0.16,0.27,0.0,0.17,0.18,0.19,0.14,0.16,0.12,0.18,0.19,0.19,0.36,0.15,0.16,0.12,0.15,0.0,0.18,0.18,0.14,0.15,0.18,0.26,0.0,0.19,0.15,0.16,0.13,0.17,0.13,0.13,0.12,0.12,0.19,0.13,0.15,0.15,0.15,0.18,0.18,0.14,0.0,0.12,0.0,0.12,0.0,0.14,0.0,0.0,0.13,0.17,0.17,0.21,0.13,0.15,0.12,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.12,0.13,0.16,0.15,0.12,0.13,0.0,0.13,0.12,0.0,0.14,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.12,0.15,0.12,0.0,0.0,0.13,0.14,0.0,0.12,0.13,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.14,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.14,0.0,0.12,0.0,0.0,0.2,0.2,0.16,0.14,0.12,4.85,0.12,0.0,0.0,0.0,0.0,0.0,77.51
09/28/2021,5.14,3.92,5.86,4.87,1.83,1.57,0.52,0.82,0.99,1.25,0.98,1.0,0.69,0.7,0.7,0.57,0.72,0.77,0.73,0.63,0.71,0.54,0.78,0.84,0.69,0.73,0.59,0.48,0.45,0.59,0.43,0.43,0.5,0.41,0.48,0.38,0.36,0.47,0.47,0.37,0.41,0.27,0.38,0.22,0.43,0.32,0.28,0.38,0.33,0.36,0.33,0.36,0.36,0.23,0.29,0.35,0.36,0.41,0.29,0.28,0.41,0.32,0.27,0.24,0.37,0.27,0.24,0.26,0.32,0.31,0.33,0.26,0.28,0.26,0.27,0.32,0.23,0.29,0.37,0.31,0.16,0.23,0.2,0.25,0.26,0.18,0.26,0.2,0.18,0.2,0.26,0.18,0.23,0.31,0.14,0.21,0.23,0.25,0.18,0.22,0.23,0.18,0.21,0.19,0.24,0.15,0.18,0.23,0.17,0.2,0.15,0.14,0.16,0.21,0.15,0.16,0.19,0.16,0.28,0.0,0.17,0.18,0.19,0.14,0.15,0.12,0.18,0.19,0.18,0.0,0.15,0.16,0.13,0.15,0.12,0.18,0.18,0.14,0.15,0.18,0.26,0.0,0.19,0.14,0.16,0.13,0.17,0.13,0.13,0.12,0.0,0.19,0.13,0.15,0.15,0.15,0.18,0.18,0.14,0.12,0.0,0.0,0.0,0.0,0.14,0.0,0.12,0.13,0.17,0.17,0.21,0.14,0.15,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.13,0.0,0.13,0.16,0.15,0.12,0.13,0.13,0.13,0.12,0.0,0.14,0.0,0.0,0.11,0.12,0.0,0.0,0.12,0.12,0.15,0.13,0.0,0.12,0.14,0.14,0.0,0.12,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.12,0.0,0.14,0.0,0.11,0.0,0.0,0.21,0.2,0.15,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.35
09/29/2021,5.14,3.92,5.86,4.87,1.83,1.57,0.52,0.82,0.99,1.25,0.98,1.0,0.69,0.7,0.7,0.57,0.72,0.77,0.73,0.63,0.71,0.54,0.78,0.84,0.69,0.73,0.59,0.48,0.45,0.59,0.43,0.43,0.5,0.41,0.48,0.38,0.36,0.47,0.47,0.37,0.41,0.27,0.38,0.22,0.43,0.32,0.28,0.38,0.33,0.36,0.33,0.36,0.36,0.23,0.29,0.35,0.36,0.41,0.29,0.28,0.41,0.32,0.27,0.24,0.37,0.27,0.24,0.26,0.32,0.31,0.33,0.26,0.28,0.26,0.27,0.32,0.23,0.29,0.37,0.31,0.16,0.23,0.2,0.25,0.26,0.18,0.26,0.2,0.18,0.2,0.26,0.18,0.23,0.31,0.14,0.21,0.23,0.25,0.18,0.22,0.23,0.18,0.21,0.19,0.24,0.15,0.18,0.23,0.17,0.2,0.15,0.14,0.16,0.21,0.15,0.16,0.19,0.16,0.28,0.0,0.17,0.18,0.19,0.14,0.15,0.12,0.18,0.19,0.18,0.0,0.15,0.16,0.13,0.15,0.12,0.18,0.18,0.14,0.15,0.18,0.26,0.0,0.19,0.14,0.16,0.13,0.17,0.13,0.13,0.12,0.0,0.19,0.13,0.15,0.15,0.15,0.18,0.18,0.14,0.12,0.0,0.0,0.0,0.0,0.14,0.0,0.12,0.13,0.17,0.17,0.21,0.14,0.15,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.13,0.0,0.13,0.16,0.15,0.12,0.13,0.13,0.13,0.12,0.0,0.14,0.0,0.0,0.11,0.12,0.0,0.0,0.12,0.12,0.15,0.13,0.0,0.12,0.14,0.14,0.0,0.12,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.12,0.0,0.14,0.0,0.11,0.0,0.0,0.21,0.2,0.15,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.35
09/30/2021,5.17,3.84,5.89,4.88,1.85,1.59,0.52,0.83,0.98,1.22,0.98,1.0,0.72,0.7,0.73,0.57,0.73,0.8,0.73,0.62,0.71,0.54,0.77,0.85,0.7,0.74,0.6,0.49,0.45,0.59,0.43,0.44,0.51,0.44,0.49,0.39,0.36,0.47,0.46,0.37,0.43,0.28,0.38,0.21,0.43,0.32,0.28,0.38,0.33,0.36,0.32,0.35,0.36,0.21,0.29,0.35,0.36,0.41,0.29,0.27,0.41,0.3,0.26,0.23,0.36,0.27,0.23,0.25,0.32,0.31,0.33,0.25,0.29,0.25,0.27,0.32,0.22,0.29,0.36,0.3,0.15,0.24,0.2,0.26,0.27,0.17,0.26,0.2,0.18,0.2,0.26,0.18,0.23,0.3,0.16,0.21,0.22,0.25,0.18,0.22,0.23,0.19,0.2,0.19,0.24,0.15,0.17,0.23,0.17,0.2,0.16,0.13,0.16,0.2,0.15,0.16,0.19,0.16,0.27,0.0,0.17,0.19,0.19,0.13,0.15,0.12,0.18,0.19,0.18,0.0,0.15,0.16,0.12,0.16,0.12,0.18,0.18,0.14,0.15,0.18,0.26,0.0,0.19,0.14,0.16,0.13,0.17,0.13,0.13,0.0,0.0,0.18,0.13,0.15,0.15,0.14,0.18,0.18,0.14,0.12,0.0,0.0,0.12,0.0,0.14,0.0,0.12,0.13,0.17,0.17,0.2,0.14,0.15,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.13,0.12,0.13,0.17,0.15,0.12,0.13,0.13,0.13,0.12,0.0,0.15,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.14,0.0,0.0,0.12,0.14,0.14,0.0,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.14,0.0,0.0,0.0,0.0,0.21,0.2,0.15,0.14,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,77.39
10/01/2021,5.25,4.1,5.82,4.77,1.88,1.6,0.53,0.78,0.98,1.19,1.0,0.98,0.69,0.69,0.75,0.58,0.72,0.8,0.71,0.62,0.71,0.55,0.76,0.87,0.7,0.73,0.55,0.51,0.44,0.59,0.44,0.44,0.52,0.44,0.47,0.37,0.35,0.48,0.47,0.37,0.43,0.27,0.38,0.22,0.44,0.31,0.28,0.38,0.32,0.36,0.32,0.35,0.36,0.23,0.29,0.35,0.36,0.4,0.28,0.27,0.39,0.3,0.26,0.22,0.37,0.27,0.23,0.26,0.32,0.32,0.33,0.26,0.29,0.25,0.28,0.32,0.22,0.29,0.34,0.3,0.15,0.24,0.21,0.27,0.27,0.19,0.26,0.2,0.18,0.19,0.25,0.19,0.23,0.29,0.16,0.21,0.22,0.25,0.19,0.22,0.23,0.19,0.21,0.19,0.24,0.15,0.16,0.23,0.17,0.2,0.16,0.12,0.15,0.2,0.15,0.16,0.19,0.16,0.27,0.0,0.17,0.19,0.19,0.12,0.15,0.0,0.18,0.19,0.18,0.0,0.15,0.17,0.12,0.16,0.0,0.18,0.18,0.14,0.15,0.18,0.26,0.0,0.18,0.14,0.16,0.13,0.17,0.13,0.13,0.13,0.0,0.18,0.13,0.15,0.15,0.15,0.19,0.18,0.14,0.12,0.12,0.0,0.12,0.0,0.14,0.0,0.12,0.13,0.16,0.17,0.19,0.14,0.15,0.12,0.0,0.0,0.12,0.13,0.0,0.0,0.13,0.0,0.13,0.17,0.14,0.12,0.13,0.13,0.13,0.12,0.0,0.15,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.14,0.12,0.0,0.12,0.14,0.14,0.0,0.13,0.13,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.22,0.2,0.15,0.14,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,77.44
10/04/2021,5.24,3.93,5.75,4.71,1.88,1.61,0.53,0.8,1.03,1.2,0.97,0.98,0.71,0.7,0.77,0.57,0.71,0.77,0.71,0.61,0.7,0.57,0.77,0.89,0.73,0.72,0.57,0.51,0.45,0.6,0.46,0.45,0.52,0.45,0.48,0.39,0.35,0.49,0.47,0.37,0.44,0.28,0.39,0.2,0.43,0.32,0.3,0.41,0.32,0.37,0.32,0.35,0.37,0.22,0.29,0.37,0.37,0.4,0.29,0.28,0.41,0.31,0.26,0.22,0.38,0.27,0.25,0.27,0.32,0.33,0.33,0.26,0.29,0.26,0.29,0.33,0.23,0.29,0.34,0.29,0.15,0.24,0.21,0.27,0.27,0.21,0.26,0.2,0.18,0.2,0.25,0.2,0.24,0.3,0.16,0.21,0.23,0.25,0.19,0.22,0.23,0.19,0.21,0.19,0.25,0.15,0.17,0.23,0.18,0.2,0.16,0.13,0.15,0.2,0.16,0.17,0.2,0.16,0.27,0.0,0.18,0.19,0.19,0.13,0.15,0.0,0.18,0.19,0.19,0.0,0.15,0.18,0.0,0.16,0.0,0.18,0.19,0.14,0.15,0.18,0.27,0.0,0.18,0.15,0.16,0.13,0.18,0.13,0.0,0.13,0.0,0.18,0.13,0.15,0.15,0.15,0.19,0.18,0.15,0.0,0.12,0.0,0.0,0.0,0.14,0.0,0.12,0.13,0.16,0.18,0.19,0.14,0.16,0.12,0.0,0.0,0.13,0.13,0.0,0.0,0.13,0.12,0.13,0.16,0.14,0.12,0.13,0.0,0.14,0.13,0.0,0.16,0.12,0.0,0.12,0.14,0.0,0.0,0.12,0.12,0.14,0.12,0.0,0.12,0.14,0.14,0.0,0.14,0.13,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.13,0.15,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.12,0.12,0.0,0.14,0.0,0.0,0.0,0.0,0.21,0.2,0.15,0.14,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,77.9
