,AAPL,MSFT,NVDA,V,MA,PYPL,ADBE,INTC,CSCO,CRM,AVGO,ACN,TXN,QCOM,ORCL,IBM,AMAT,INTU,AMD,MU,NOW,LRCX,FIS,SQ,ADP,FISV,ZM,ADSK,ADI,NXPI,GPN,TWLO,KLAC,TEL,MCHP,WDAY,APH,CRWD,SNPS,MRVL,CTSH,DOCU,HPQ,CDNS,PANW,MSI,GLW,PAYX,XLNX,FTNT,ANSS,SWKS,MXIM,OKTA,EPAM,ZBRA,KEYS,DELL,TTD,CDW,WDC,VRSN,HUBS,TER,FLT,WORK,HPE,QRVO,IT,STX,RNG,SPLK,TRMB,ANET,AKAM,NET,BR,ENPH,NTAP,COUP,SSNC,PAYC,ON,TYL,NLOK,ZEN,DDOG,MDB,ZS,ENTG,NUAN,PTC,FICO,MPWR,CTXS,CGNX,GDDY,SEDG,VMW,PLTR,CDAY,JKHY,FIVN,BKI,FFIV,AVLR,CREE,BILL,MKSI,WU,PFPT,BSY,OLED,DXC,DT,AZPN,FLEX,ARW,MANH,WEX,DBX,JNPR,CIEN,JBL,EEFT,IPGP,GWRE,BRKS,ESTC,FSLR,LSCC,IIVI,SMAR,CNXC,PLAN,PCTY,COHR,DLB,LFUS,CDK,NCR,LITE,NTNX,SLAB,SNOW,VNT,ADS,MMS,APPS,SNX,BL,JCOM,NATI,FEYE,U,TDC,QTWO,VRNS,POWI,PSTG,NOVT,PEGA,FSLY,AYX,CRUS,CCMP,SYNA,AVT,SAIL,EVBG,SABR,RPD,SMTC,COMM,ACIW,VIAV,XRX,ENV,AEIS,ITRI,ALRM,BOX,DDD,NSIT,CRNC,MSTR,WK,NEWR,AMBA,ROG,ONTO,LPSN,EXLS,DIOD,RAMP,FOUR,SPSC,FN,VG,KLIC,APPN,ASAN,CLDR,QLYS,MXL,MIME,MDLA,SPT,TDY,MARA,PRFT,CREEEUR,ZD,FEYECHF,n/a,WOLF,MNDT,SUM
08/13/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/16/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/17/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/18/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/19/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/20/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/23/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/24/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/25/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/26/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/27/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/30/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
08/31/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
09/01/2021,19.58,16.53,4.22,3.16,2.76,2.76,2.39,1.94,1.9,1.91,1.66,1.59,1.51,1.38,1.27,1.11,1.11,1.14,0.97,0.8,0.91,0.79,0.75,0.81,0.72,0.55,0.67,0.55,0.54,0.49,0.47,0.54,0.43,0.38,0.34,0.37,0.35,0.38,0.36,0.4,0.31,0.45,0.32,0.33,0.31,0.31,0.27,0.3,0.3,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.28,0.21,0.18,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.18,0.19,0.17,0.18,0.16,0.2,0.16,0.19,0.16,0.16,0.14,0.16,0.14,0.16,0.14,0.15,0.16,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
