,IDXX,TWTR,DOCU,ROKU,IQV,MRVL,TROW,A,VEEV,MTCH,PINS,CMG,TT,MSCI,INFO,DXCM,APTV,CRWD,SNPS,LULU,CARR,SPG,ORLY,PPG,PLTR,ALXN,APH,PRU,PH,MPC,CDNS,HPQ,MCHP,IFF,PSX,MSI,PANW,XEL,SPOT,DFS,AFL,RMD,WELL,XLNX,OTIS,SBAC,CMI,HLT,YUM,PAYX,PXD,CTAS,ZBH,AZO,TDG,FTNT,SWK,FRC,ADM,MTD,WMB,CTVA,CSGP,PTON,TTD,ROK,KKR,SWKS,LUV,OKTA,ANSS,MCK,AVB,EFX,FAST,AME,DHI,VLO,PEG,SIVB,GLW,CPRT,KEYS,WEC,AMP,ZBRA,AWK,EQR,WLTW,PCAR,ES,DAL,BBY,NUE,SYF,MXIM,KR,YUMC,VRSK,CBRE,STT,AJG,EPAM,LBRDK,LYB,GNRC,BLL,VFC,HUBS,NET,WST,LH,ARE,LEN,HSY,WY,O,OXY,KSU,ODFL,FITB,DDOG,RNG,CVNA,CDW,ETSY,ENPH,ED,OKE,VIAC,SPLK,DLTR,W,NTRS,EXPE,RSG,HES,IP,TDOC,CERN,HIG,QRVO,WAT,MKC,WORK,BURL,INVH,GRMN,URI,CLX,ANET,VMC,FTV,VRSN,EXR,FLT,AVTR,CHD,TSN,TRMB,EXAS,STE,AEE,WDC,HZNP,TER,GWW,CCL,DTE,IT,PPL,MLM,VTR,KMX,DOV,XYL,TRU,TSCO,EIX,EXPD,COO,SUI,ALB,Z,CZR,PAYC,HAL,MAA,COUP,TTWO,ESS,NDAQ,SGEN,ALNY,HBAN,FE,ETR,LNG,ULTA,HPE,TFX,NVCR,DVN,PEAK,RF,ALLY,AKAM,MDB,KEY,BR,TDY,MTB,DPZ,DRE,CRL,TYL,CTLT,CFG,BXP,XTSLA,MPWR,POOL,PKI,LB,IR,TECH,ON,U,PODD,NVAX,AMCR,DGX,ZS,CMS,HOLX,DRI,NTAP,BILL,DKNG,DASH,RCL,FANG,PLUG,ENTG,SBNY,SUM
08/11/2021,0.51,0.46,0.51,0.4,0.42,0.43,0.43,0.42,0.41,0.35,0.28,0.47,0.42,0.45,0.39,0.44,0.39,0.37,0.39,0.41,0.43,0.39,0.37,0.34,0.31,0.0,0.38,0.37,0.34,0.33,0.37,0.32,0.33,0.33,0.29,0.34,0.33,0.33,0.27,0.35,0.33,0.35,0.32,0.33,0.34,0.33,0.3,0.31,0.35,0.33,0.29,0.31,0.28,0.32,0.29,0.36,0.28,0.32,0.3,0.31,0.27,0.29,0.3,0.26,0.32,0.32,0.33,0.27,0.27,0.26,0.29,0.28,0.28,0.27,0.28,0.28,0.28,0.24,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.28,0.28,0.24,0.24,0.27,0.23,0.25,0.27,0.25,0.24,0.28,0.23,0.26,0.29,0.28,0.25,0.28,0.24,0.23,0.22,0.24,0.23,0.26,0.26,0.28,0.26,0.27,0.25,0.23,0.23,0.23,0.2,0.22,0.25,0.23,0.26,0.18,0.24,0.23,0.2,0.21,0.23,0.21,0.21,0.21,0.2,0.18,0.21,0.19,0.22,0.18,0.2,0.19,0.21,0.21,0.19,0.21,0.18,0.0,0.2,0.2,0.22,0.21,0.18,0.2,0.21,0.22,0.19,0.2,0.19,0.19,0.18,0.18,0.2,0.0,0.19,0.2,0.19,0.2,0.19,0.18,0.0,0.2,0.22,0.2,0.2,0.19,0.19,0.22,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.23,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.19,0.0,0.18,0.17,0.18,0.18,0.0,0.17,0.0,0.0,0.18,0.0,0.18,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.96000000000001
08/13/2021,0.5,0.45,0.51,0.39,0.42,0.43,0.43,0.42,0.39,0.33,0.28,0.46,0.41,0.44,0.39,0.43,0.4,0.36,0.39,0.41,0.44,0.38,0.37,0.35,0.33,0.0,0.38,0.37,0.34,0.34,0.36,0.33,0.33,0.34,0.29,0.34,0.32,0.33,0.26,0.36,0.34,0.35,0.31,0.32,0.34,0.33,0.3,0.31,0.35,0.33,0.29,0.31,0.27,0.32,0.28,0.36,0.28,0.31,0.3,0.31,0.27,0.3,0.3,0.27,0.33,0.33,0.32,0.27,0.27,0.26,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.24,0.28,0.29,0.28,0.26,0.27,0.27,0.28,0.27,0.28,0.27,0.25,0.24,0.27,0.23,0.25,0.31,0.26,0.24,0.28,0.23,0.26,0.28,0.28,0.25,0.29,0.24,0.24,0.23,0.25,0.23,0.26,0.28,0.28,0.26,0.26,0.25,0.23,0.23,0.23,0.2,0.23,0.25,0.24,0.25,0.18,0.25,0.24,0.21,0.21,0.23,0.21,0.21,0.2,0.21,0.19,0.21,0.19,0.22,0.18,0.21,0.19,0.21,0.21,0.19,0.21,0.19,0.0,0.21,0.2,0.22,0.22,0.18,0.2,0.22,0.21,0.18,0.2,0.19,0.2,0.18,0.2,0.2,0.0,0.19,0.2,0.18,0.2,0.18,0.18,0.18,0.2,0.22,0.2,0.21,0.19,0.19,0.22,0.2,0.2,0.19,0.18,0.18,0.0,0.19,0.25,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.18,0.19,0.18,0.22,0.19,0.18,0.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.18,0.18,0.0,0.18,0.17,0.18,0.17,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.09
08/16/2021,0.5,0.45,0.5,0.37,0.41,0.42,0.43,0.42,0.39,0.33,0.27,0.46,0.4,0.44,0.39,0.42,0.39,0.35,0.39,0.41,0.43,0.38,0.36,0.35,0.36,0.0,0.38,0.37,0.33,0.34,0.37,0.33,0.33,0.34,0.29,0.34,0.31,0.33,0.26,0.36,0.34,0.35,0.31,0.32,0.34,0.33,0.31,0.3,0.35,0.33,0.29,0.31,0.27,0.32,0.28,0.36,0.29,0.31,0.3,0.31,0.27,0.3,0.29,0.26,0.32,0.32,0.32,0.27,0.27,0.26,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.24,0.28,0.3,0.27,0.26,0.27,0.26,0.28,0.27,0.28,0.26,0.25,0.25,0.27,0.23,0.26,0.33,0.26,0.23,0.28,0.23,0.26,0.28,0.28,0.25,0.28,0.24,0.24,0.23,0.25,0.23,0.26,0.27,0.28,0.26,0.26,0.26,0.23,0.23,0.23,0.2,0.23,0.25,0.24,0.26,0.18,0.24,0.24,0.21,0.21,0.23,0.21,0.2,0.21,0.21,0.21,0.21,0.19,0.22,0.18,0.21,0.19,0.21,0.21,0.19,0.22,0.19,0.0,0.2,0.2,0.22,0.23,0.18,0.19,0.22,0.22,0.18,0.2,0.19,0.2,0.18,0.2,0.19,0.0,0.19,0.2,0.0,0.2,0.0,0.18,0.0,0.2,0.22,0.2,0.21,0.19,0.19,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.24,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.18,0.19,0.18,0.21,0.2,0.18,0.19,0.18,0.18,0.0,0.0,0.0,0.17,0.0,0.18,0.18,0.17,0.0,0.18,0.18,0.19,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.010000000000005
08/17/2021,0.5,0.44,0.5,0.36,0.42,0.43,0.43,0.43,0.39,0.32,0.27,0.47,0.4,0.44,0.39,0.42,0.39,0.34,0.39,0.41,0.43,0.38,0.36,0.35,0.36,0.0,0.38,0.38,0.33,0.34,0.37,0.32,0.33,0.34,0.29,0.34,0.31,0.33,0.25,0.36,0.34,0.35,0.31,0.32,0.34,0.34,0.31,0.3,0.36,0.33,0.29,0.31,0.27,0.31,0.28,0.37,0.28,0.31,0.31,0.31,0.27,0.3,0.29,0.26,0.31,0.32,0.32,0.27,0.26,0.26,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.24,0.29,0.3,0.27,0.26,0.27,0.27,0.28,0.27,0.29,0.27,0.25,0.24,0.27,0.22,0.25,0.33,0.26,0.23,0.28,0.23,0.27,0.28,0.28,0.25,0.29,0.24,0.24,0.22,0.25,0.23,0.26,0.27,0.28,0.26,0.26,0.26,0.23,0.23,0.24,0.19,0.23,0.25,0.24,0.27,0.18,0.24,0.24,0.21,0.2,0.23,0.2,0.2,0.21,0.21,0.21,0.21,0.18,0.22,0.0,0.2,0.19,0.21,0.21,0.19,0.22,0.19,0.0,0.2,0.2,0.22,0.22,0.18,0.19,0.22,0.22,0.18,0.2,0.19,0.2,0.18,0.21,0.2,0.0,0.19,0.2,0.0,0.2,0.0,0.18,0.0,0.2,0.22,0.2,0.21,0.19,0.18,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.24,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.18,0.19,0.18,0.2,0.2,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,0.18,0.0,0.18,0.0,0.18,0.0,0.0,0.17,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.99
08/18/2021,0.5,0.44,0.5,0.36,0.42,0.43,0.43,0.43,0.39,0.32,0.27,0.47,0.4,0.44,0.39,0.42,0.39,0.34,0.39,0.41,0.43,0.38,0.36,0.35,0.36,0.0,0.38,0.38,0.33,0.34,0.37,0.32,0.33,0.34,0.29,0.34,0.31,0.33,0.25,0.36,0.34,0.35,0.31,0.32,0.34,0.34,0.31,0.3,0.36,0.33,0.29,0.31,0.27,0.31,0.28,0.37,0.28,0.31,0.31,0.31,0.27,0.3,0.29,0.26,0.31,0.32,0.32,0.27,0.26,0.26,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.24,0.29,0.3,0.27,0.26,0.27,0.27,0.28,0.27,0.29,0.27,0.25,0.24,0.27,0.22,0.25,0.33,0.26,0.23,0.28,0.23,0.27,0.28,0.28,0.25,0.29,0.24,0.24,0.22,0.25,0.23,0.26,0.27,0.28,0.26,0.26,0.26,0.23,0.23,0.24,0.19,0.23,0.25,0.24,0.27,0.18,0.24,0.24,0.21,0.2,0.23,0.2,0.2,0.21,0.21,0.21,0.21,0.18,0.22,0.0,0.2,0.19,0.21,0.21,0.19,0.22,0.19,0.0,0.2,0.2,0.22,0.22,0.18,0.19,0.22,0.22,0.18,0.2,0.19,0.2,0.18,0.21,0.2,0.0,0.19,0.2,0.0,0.2,0.17,0.18,0.0,0.2,0.22,0.2,0.21,0.19,0.18,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.24,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.18,0.19,0.18,0.2,0.2,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.0,0.18,0.18,0.18,0.18,0.0,0.18,0.0,0.18,0.0,0.17,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.99
08/19/2021,0.5,0.44,0.48,0.36,0.43,0.42,0.43,0.44,0.39,0.32,0.27,0.46,0.41,0.45,0.4,0.43,0.39,0.33,0.39,0.41,0.43,0.38,0.37,0.35,0.35,0.0,0.38,0.37,0.34,0.34,0.37,0.32,0.33,0.34,0.28,0.35,0.31,0.33,0.25,0.36,0.34,0.36,0.31,0.31,0.35,0.34,0.31,0.29,0.36,0.34,0.28,0.31,0.27,0.32,0.28,0.36,0.29,0.31,0.31,0.32,0.26,0.3,0.29,0.26,0.3,0.33,0.32,0.27,0.26,0.25,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.23,0.29,0.3,0.27,0.26,0.27,0.27,0.28,0.27,0.29,0.27,0.25,0.25,0.27,0.22,0.25,0.33,0.26,0.24,0.29,0.23,0.27,0.28,0.28,0.25,0.29,0.25,0.24,0.22,0.25,0.23,0.26,0.27,0.29,0.26,0.27,0.26,0.23,0.23,0.24,0.18,0.23,0.25,0.24,0.27,0.0,0.25,0.25,0.21,0.19,0.24,0.2,0.2,0.21,0.21,0.2,0.21,0.18,0.23,0.0,0.21,0.18,0.21,0.21,0.19,0.22,0.19,0.0,0.2,0.2,0.23,0.22,0.19,0.19,0.22,0.22,0.18,0.2,0.19,0.2,0.19,0.21,0.2,0.0,0.19,0.2,0.17,0.2,0.0,0.18,0.0,0.2,0.23,0.2,0.21,0.19,0.19,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.23,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.18,0.19,0.18,0.2,0.19,0.19,0.2,0.18,0.18,0.0,0.0,0.0,0.0,0.17,0.0,0.18,0.0,0.0,0.18,0.18,0.19,0.0,0.18,0.17,0.18,0.17,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.10000000000001
08/20/2021,0.51,0.44,0.49,0.37,0.44,0.42,0.43,0.44,0.39,0.31,0.27,0.47,0.41,0.45,0.4,0.44,0.38,0.33,0.39,0.4,0.43,0.37,0.37,0.35,0.35,0.0,0.39,0.37,0.34,0.33,0.37,0.32,0.32,0.34,0.27,0.35,0.31,0.34,0.25,0.36,0.34,0.36,0.32,0.31,0.35,0.35,0.31,0.29,0.36,0.34,0.28,0.31,0.28,0.32,0.28,0.36,0.28,0.31,0.31,0.32,0.27,0.3,0.29,0.27,0.3,0.32,0.31,0.26,0.26,0.26,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.23,0.29,0.29,0.27,0.26,0.27,0.27,0.28,0.27,0.29,0.27,0.25,0.24,0.28,0.22,0.25,0.32,0.26,0.24,0.3,0.23,0.27,0.28,0.27,0.25,0.3,0.25,0.24,0.21,0.26,0.22,0.26,0.27,0.29,0.27,0.27,0.25,0.24,0.23,0.24,0.18,0.24,0.25,0.24,0.27,0.18,0.24,0.24,0.22,0.19,0.24,0.2,0.2,0.21,0.21,0.2,0.21,0.18,0.23,0.0,0.21,0.18,0.22,0.21,0.18,0.22,0.2,0.0,0.19,0.2,0.22,0.22,0.19,0.2,0.22,0.22,0.19,0.21,0.19,0.2,0.19,0.21,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.18,0.0,0.21,0.23,0.2,0.21,0.19,0.19,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.22,0.0,0.0,0.21,0.0,0.19,0.0,0.17,0.18,0.19,0.19,0.21,0.19,0.19,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.19,0.0,0.18,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.18,0.0,0.17,0.0,0.0,0.0,0.18,0.0,0.17,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.18
08/23/2021,0.52,0.44,0.49,0.36,0.44,0.43,0.43,0.46,0.39,0.33,0.26,0.47,0.42,0.44,0.39,0.44,0.37,0.34,0.43,0.41,0.43,0.38,0.37,0.34,0.35,0.0,0.39,0.37,0.33,0.32,0.38,0.31,0.33,0.34,0.26,0.36,0.31,0.34,0.25,0.35,0.34,0.37,0.32,0.32,0.35,0.35,0.31,0.3,0.36,0.34,0.27,0.32,0.27,0.32,0.28,0.36,0.28,0.31,0.3,0.32,0.26,0.28,0.29,0.26,0.29,0.33,0.31,0.26,0.25,0.26,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.22,0.29,0.28,0.28,0.26,0.28,0.28,0.27,0.27,0.3,0.27,0.25,0.25,0.28,0.22,0.25,0.32,0.26,0.24,0.31,0.22,0.28,0.28,0.27,0.26,0.3,0.25,0.23,0.22,0.27,0.22,0.26,0.27,0.3,0.27,0.27,0.25,0.24,0.23,0.24,0.0,0.24,0.26,0.24,0.27,0.18,0.24,0.24,0.22,0.19,0.24,0.2,0.21,0.21,0.21,0.19,0.21,0.18,0.23,0.0,0.21,0.18,0.22,0.21,0.18,0.22,0.2,0.0,0.21,0.21,0.23,0.22,0.19,0.2,0.22,0.22,0.19,0.21,0.19,0.2,0.19,0.21,0.2,0.0,0.19,0.21,0.0,0.2,0.0,0.18,0.17,0.21,0.23,0.2,0.21,0.18,0.18,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.22,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.21,0.19,0.19,0.2,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.19,0.0,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.0,0.19,0.0,0.18,0.0,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.18,0.17,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36
08/24/2021,0.52,0.44,0.49,0.36,0.43,0.43,0.43,0.46,0.39,0.32,0.26,0.47,0.41,0.44,0.39,0.45,0.37,0.34,0.43,0.41,0.43,0.38,0.37,0.34,0.35,0.0,0.39,0.37,0.33,0.32,0.39,0.32,0.32,0.33,0.26,0.36,0.31,0.34,0.27,0.35,0.34,0.37,0.31,0.32,0.35,0.35,0.3,0.3,0.36,0.33,0.27,0.31,0.27,0.32,0.28,0.36,0.28,0.31,0.29,0.31,0.26,0.28,0.29,0.26,0.3,0.33,0.31,0.26,0.25,0.26,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.22,0.29,0.29,0.27,0.26,0.28,0.27,0.27,0.27,0.3,0.27,0.25,0.25,0.28,0.22,0.25,0.31,0.25,0.24,0.31,0.22,0.28,0.28,0.27,0.26,0.3,0.25,0.23,0.22,0.27,0.22,0.26,0.27,0.29,0.27,0.27,0.25,0.23,0.23,0.24,0.17,0.23,0.26,0.24,0.27,0.18,0.24,0.24,0.23,0.2,0.24,0.2,0.21,0.21,0.21,0.2,0.21,0.0,0.23,0.0,0.21,0.18,0.21,0.21,0.18,0.22,0.2,0.0,0.21,0.21,0.23,0.21,0.19,0.2,0.22,0.21,0.19,0.21,0.19,0.2,0.19,0.21,0.2,0.0,0.19,0.2,0.0,0.2,0.17,0.18,0.17,0.21,0.23,0.2,0.21,0.18,0.18,0.22,0.21,0.2,0.2,0.2,0.18,0.19,0.2,0.23,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.21,0.19,0.19,0.21,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.19,0.0,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.0,0.19,0.0,0.18,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.18,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.22
08/25/2021,0.52,0.44,0.49,0.36,0.43,0.43,0.43,0.46,0.39,0.32,0.26,0.47,0.41,0.44,0.39,0.45,0.37,0.34,0.43,0.41,0.43,0.38,0.37,0.34,0.35,0.0,0.39,0.37,0.33,0.32,0.39,0.32,0.32,0.33,0.26,0.36,0.31,0.34,0.27,0.35,0.34,0.37,0.31,0.32,0.35,0.35,0.3,0.3,0.36,0.33,0.27,0.31,0.27,0.32,0.28,0.36,0.28,0.31,0.29,0.31,0.26,0.28,0.29,0.26,0.3,0.33,0.31,0.26,0.25,0.26,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.22,0.29,0.29,0.27,0.26,0.28,0.27,0.27,0.27,0.3,0.27,0.25,0.25,0.28,0.22,0.25,0.31,0.25,0.24,0.31,0.22,0.28,0.28,0.27,0.26,0.3,0.25,0.23,0.22,0.27,0.22,0.26,0.27,0.29,0.27,0.27,0.25,0.23,0.23,0.24,0.17,0.23,0.26,0.24,0.27,0.18,0.24,0.24,0.23,0.2,0.24,0.2,0.21,0.21,0.21,0.2,0.21,0.0,0.23,0.0,0.21,0.18,0.21,0.21,0.18,0.22,0.2,0.0,0.21,0.21,0.23,0.21,0.19,0.2,0.22,0.21,0.19,0.21,0.19,0.2,0.19,0.21,0.2,0.0,0.19,0.2,0.0,0.2,0.17,0.18,0.17,0.21,0.23,0.2,0.21,0.18,0.18,0.22,0.21,0.2,0.2,0.2,0.18,0.19,0.2,0.23,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.21,0.19,0.19,0.21,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.19,0.0,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.0,0.19,0.0,0.18,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.18,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.22
08/26/2021,0.5,0.44,0.49,0.37,0.43,0.44,0.43,0.46,0.39,0.33,0.26,0.48,0.41,0.44,0.39,0.44,0.37,0.35,0.43,0.41,0.43,0.37,0.37,0.34,0.36,0.0,0.39,0.37,0.34,0.33,0.39,0.32,0.33,0.33,0.27,0.35,0.31,0.33,0.27,0.35,0.34,0.36,0.31,0.34,0.34,0.34,0.31,0.3,0.36,0.33,0.28,0.31,0.27,0.32,0.28,0.37,0.27,0.3,0.29,0.31,0.26,0.28,0.29,0.25,0.3,0.32,0.31,0.27,0.26,0.26,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.23,0.29,0.29,0.27,0.26,0.28,0.27,0.27,0.27,0.29,0.27,0.25,0.24,0.28,0.22,0.25,0.32,0.25,0.25,0.31,0.22,0.28,0.27,0.27,0.26,0.3,0.25,0.23,0.23,0.27,0.22,0.27,0.28,0.29,0.26,0.27,0.25,0.23,0.23,0.24,0.18,0.23,0.26,0.24,0.27,0.18,0.24,0.24,0.22,0.2,0.23,0.2,0.21,0.21,0.21,0.19,0.21,0.18,0.23,0.0,0.2,0.19,0.21,0.21,0.18,0.22,0.19,0.0,0.2,0.2,0.23,0.22,0.19,0.2,0.22,0.21,0.19,0.21,0.19,0.2,0.18,0.2,0.2,0.0,0.19,0.2,0.17,0.21,0.0,0.18,0.0,0.21,0.22,0.2,0.21,0.18,0.18,0.22,0.21,0.2,0.2,0.2,0.18,0.19,0.19,0.23,0.0,0.0,0.21,0.0,0.19,0.0,0.17,0.18,0.19,0.2,0.21,0.2,0.19,0.2,0.18,0.18,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.18,0.0,0.18,0.19,0.0,0.0,0.17,0.19,0.17,0.18,0.0,0.0,0.0,0.19,0.0,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2
08/27/2021,0.5,0.44,0.49,0.36,0.43,0.44,0.43,0.46,0.39,0.33,0.26,0.47,0.41,0.44,0.39,0.44,0.37,0.37,0.43,0.41,0.43,0.38,0.36,0.34,0.36,0.0,0.39,0.37,0.34,0.33,0.38,0.32,0.33,0.33,0.27,0.35,0.37,0.32,0.27,0.35,0.33,0.36,0.31,0.33,0.34,0.34,0.3,0.31,0.35,0.32,0.28,0.31,0.27,0.31,0.28,0.35,0.27,0.3,0.29,0.31,0.26,0.28,0.29,0.26,0.3,0.32,0.31,0.26,0.26,0.27,0.28,0.28,0.27,0.27,0.28,0.28,0.28,0.23,0.28,0.29,0.27,0.26,0.28,0.26,0.27,0.27,0.29,0.26,0.24,0.25,0.27,0.23,0.27,0.32,0.26,0.24,0.3,0.22,0.27,0.27,0.27,0.25,0.3,0.25,0.24,0.23,0.27,0.22,0.26,0.27,0.29,0.26,0.26,0.25,0.23,0.23,0.23,0.18,0.23,0.26,0.24,0.27,0.18,0.24,0.24,0.22,0.2,0.23,0.21,0.21,0.22,0.21,0.19,0.21,0.18,0.23,0.17,0.2,0.19,0.2,0.21,0.18,0.22,0.19,0.0,0.2,0.2,0.23,0.22,0.18,0.2,0.22,0.21,0.18,0.2,0.19,0.2,0.18,0.2,0.2,0.0,0.19,0.19,0.0,0.21,0.17,0.18,0.18,0.2,0.22,0.2,0.21,0.18,0.18,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.23,0.0,0.0,0.22,0.0,0.19,0.0,0.0,0.18,0.19,0.2,0.21,0.2,0.18,0.2,0.18,0.18,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.19,0.17,0.18,0.0,0.0,0.0,0.19,0.0,0.18,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.02
08/30/2021,0.5,0.43,0.5,0.36,0.43,0.45,0.43,0.47,0.39,0.32,0.27,0.47,0.42,0.44,0.39,0.44,0.37,0.39,0.44,0.41,0.44,0.38,0.36,0.34,0.36,0.0,0.39,0.37,0.34,0.33,0.39,0.32,0.34,0.33,0.27,0.36,0.38,0.32,0.27,0.35,0.33,0.36,0.31,0.33,0.35,0.33,0.3,0.3,0.35,0.32,0.28,0.31,0.28,0.31,0.27,0.37,0.27,0.31,0.29,0.31,0.26,0.29,0.29,0.27,0.3,0.33,0.31,0.26,0.26,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.23,0.28,0.29,0.27,0.26,0.29,0.26,0.28,0.27,0.29,0.27,0.24,0.24,0.27,0.23,0.26,0.31,0.26,0.0,0.3,0.22,0.28,0.28,0.28,0.25,0.3,0.25,0.24,0.23,0.27,0.22,0.27,0.27,0.29,0.26,0.26,0.25,0.22,0.23,0.23,0.18,0.23,0.26,0.24,0.26,0.18,0.24,0.24,0.24,0.2,0.23,0.21,0.21,0.22,0.19,0.19,0.21,0.18,0.23,0.0,0.2,0.18,0.2,0.21,0.18,0.22,0.19,0.0,0.19,0.2,0.23,0.22,0.18,0.2,0.22,0.21,0.18,0.21,0.18,0.2,0.18,0.2,0.21,0.0,0.18,0.2,0.17,0.21,0.0,0.0,0.18,0.21,0.23,0.2,0.21,0.18,0.18,0.22,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.24,0.0,0.18,0.21,0.0,0.19,0.0,0.0,0.18,0.19,0.2,0.21,0.2,0.18,0.2,0.18,0.18,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.19,0.17,0.19,0.0,0.0,0.0,0.19,0.0,0.18,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.190000000000005
