,CZR,PENN,GME,PLUG,DAR,LAD,RH,AMC,DECK,NVAX,BLDR,CLF,CHDN,SITE,ARWR,AA,BRKS,LPX,LSCC,FRPT,NTRA,RUN,YETI,THC,VAC,OVV,SF,IIVI,EME,MRTX,X,CROX,STAA,HQY,TXRH,MTZ,PFGC,BLD,FFIN,RARE,TTEK,FOXF,WMS,SSB,EGP,BJ,SAIA,RXN,LHCG,SLAB,OMCL,RDFN,FATE,KBR,M,VLY,STAG,MMS,GBCI,APPS,BBIO,HALO,BEPC,JCOM,AEO,BL,ESNT,GTLS,ASGN,BYD,WCC,CIT,HELE,NVRO,SWAV,UBSI,INSP,BPMC,TWST,WSC,PACB,CHX,VRNS,SSD,NEOG,POWI,ROLL,QTWO,UFPI,NOVT,AVNT,ADNT,HL,EXPO,CAR,MEDP,GT,IRDM,JBT,CCMP,RDN,BXMT,NEO,SIGI,SONO,SYNA,BKU,ACIW,ADC,UPWK,SEM,RPD,POR,ENSG,TRNO,REZI,CBU,HWC,TGNA,HR,TGTX,AIMC,WING,IIPR,UMBF,BCPC,PDCE,PNM,ITRI,HOMB,BHVN,RLI,KBH,SGMS,AMN,BKH,NTLA,SAIL,LIVN,SMTC,NJR,QTS,CDNA,LGIH,ENS,VIAV,MTH,DNLI,EYE,PCH,DAN,HGV,OGS,ALRM,HLI,AEIS,FELE,ENV,ABG,AIT,DOC,RHP,WK,SWX,MED,CNMD,CMC,CBRL,TMHC,WTS,EBC,BCO,SXT,PPBI,LCII,ABCB,OSTK,NSIT,HASI,CRNC,ATKR,FUL,ARNC,AQUA,SR,ALE,SBRA,CNO,DDD,PRG,ARNA,LANC,TEX,KNSL,KFY,SAVE,NUVA,AJRD,ROG,NVTA,BEAM,APPN,MSTR,CHK,ASAN,LPRO,TRUP,AR,FUBO,SIG,APLS,CDLX,LPSN,RRC,SHAK,MTDR,SPT,ALKS,ELY,RETA,DEN,EDIT,ONEM,SWN,SAFM,GKOS,MPLN,DBRG,APG,BOX,TENB,KLIC,BE,AMBA,PGNY,BLKB,CLDR,BBBY,NKLA,MAC,SPSC,SHOO,TPTX,STMP,SFIX,ONTO,MGNI,ATRC,NSA,FN,ARVN,PZZA,RCII,EXLS,MUSA,BNL,MC,LXP,NSP,NAVI,MMSI,DIOD,ESGR,SFBS,TRTN,EPRT,MIME,QLYS,PRFT,MARA,TNET,CELH,LTHM,MXL,CWST,CSOD,OUT,ETRN,RXNEUR,ZD,ZWS,HRI,VG,DOCN,ALLK,MUR,OPCH,HAE,CIM,n/a,CADE,SI,SITM,KRG,WD,SKY,CALX,FOCS,BIPC,INDB,HLNE,BOOT,CARG,AMEH,SUM
08/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
08/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.25,0.22,0.0,0.0,0.25,0.24,0.22,0.22,0.0,0.21,0.0,0.21,0.0,0.22,0.22,0.0,0.19,0.22,0.22,0.18,0.2,0.2,0.22,0.21,0.21,0.23,0.18,0.2,0.18,0.2,0.18,0.17,0.21,0.22,0.21,0.0,0.2,0.19,0.2,0.16,0.18,0.17,0.0,0.15,0.17,0.18,0.19,0.21,0.15,0.17,0.17,0.21,0.17,0.22,0.17,0.2,0.16,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.14,0.13,0.15,0.13,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.17,0.16,0.14,0.18,0.13,0.14,0.16,0.22,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.12,0.25,0.15,0.14,0.34,0.15,0.14,0.15,0.13,0.18,0.15,0.12,0.14,0.13,0.0,0.24,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.14,0.12,0.14,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.13,0.0,0.0,0.13,0.0,0.14,0.13,0.0,0.0,0.13,0.13,0.12,0.12,0.13,0.0,0.16,0.0,0.14,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.22,0.2,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.260000000000005
