,CRL,POOL,TECH,AVTR,NVCR,ENTG,PTC,FICO,GGG,TTC,CDAY,LII,FIVN,ELS,NDSN,CREE,TREX,GH,ZNGA,PRAH,MASI,CZR,AVLR,RH,MKSI,GNRC,FIVE,HZNP,CHGG,DT,AMH,BILL,PFPT,CABO,TDY,FND,AOS,SAM,WSO,COLD,RGEN,AZPN,OLED,BERY,NBIX,AXON,CTLT,CONE,MANH,GNTX,G,WEX,FWONK,PEN,CUBE,AMED,TPL,RUN,BFAM,ENPH,CIEN,GWRE,KRC,CASY,STE,STOR,RGLD,PKI,ZEN,MDB,CHE,SYNH,IAA,SITE,BRKS,EEFT,BRKR,ESTC,MPWR,REXR,NTRA,LSCC,FRPT,ARWR,XLRN,TPX,IIVI,EXEL,CHDN,YETI,SMAR,HQY,STAA,POST,TXRH,CGNX,MTN,PLAN,PNFP,LSTR,PLNT,BLD,COG,FOXF,SKX,ACC,PCTY,COHR,LFUS,DLB,CDK,VRT,PENN,NXST,BIO,CROX,EXP,LITE,RARE,FATE,SAIA,HST,SLAB,HTA,NTNX,BWXT,LHCG,SGMS,JKHY,RDFN,MMS,OMCL,SRPT,STAG,GMED,WMS,HALO,GRUB,MORN,SWAV,REG,SRC,BL,JCOM,APPS,BPMC,GTLS,WSC,COR,ASGN,ERIE,TNDM,BYD,QTWO,INSP,IONS,NVRO,IART,PSTG,ROLL,NEOG,SSD,FEYE,NATI,OLLI,PEGA,MEDP,Y,NVTA,DECK,AZEK,EXPO,VRNS,POWI,FSLY,NOVT,FTDR,CLH,AYX,JBT,MIDD,NEO,WAL,LAMR,CCMP,ADPT,TWST,SONO,UPWK,TRNO,HHC,CHH,PPBI,NTLA,ENSG,VRM,IIPR,LOPE,ACIW,QDEL,SPCE,BYND,DAR,APPN,QTS,CHX,EVBG,RPD,BEAM,CDNA,DDD,WING,LPRO,AMN,ITRI,SAIL,SMTC,SUM
08/13/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/16/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/17/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/18/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/19/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/20/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/23/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/24/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/25/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/26/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/27/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/30/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.52
08/31/2021,0.78,0.73,0.73,0.73,0.3,0.7,0.62,0.57,0.54,0.49,0.54,0.5,0.51,0.51,0.48,0.47,0.49,0.5,0.46,0.0,0.5,0.0,0.55,0.48,0.41,0.0,0.45,0.0,0.47,0.48,0.45,0.56,0.42,0.43,0.0,0.46,0.41,0.39,0.39,0.4,0.44,0.39,0.39,0.37,0.38,0.48,0.38,0.37,0.39,0.33,0.36,0.36,0.39,0.4,0.39,0.33,0.42,0.45,0.38,0.47,0.37,0.39,0.34,0.3,0.0,0.35,0.31,0.72,0.36,0.45,0.32,0.39,0.31,0.31,0.3,0.28,0.31,0.38,0.34,0.34,0.38,0.32,0.28,0.34,0.29,0.32,0.32,0.24,0.29,0.3,0.36,0.28,0.3,0.26,0.27,0.29,0.27,0.29,0.27,0.25,0.26,0.27,0.29,0.27,0.28,0.27,0.3,0.27,0.26,0.27,0.25,0.32,0.25,0.25,0.28,0.3,0.25,0.26,0.24,0.29,0.23,0.25,0.29,0.24,0.31,0.23,0.25,0.3,0.25,0.26,0.23,0.27,0.25,0.25,0.25,0.26,0.27,0.0,0.25,0.25,0.23,0.23,0.24,0.25,0.26,0.21,0.22,0.26,0.24,0.2,0.21,0.24,0.2,0.23,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.22,0.24,0.21,0.0,0.24,0.23,0.19,0.19,0.24,0.2,0.24,0.19,0.0,0.19,0.21,0.19,0.2,0.21,0.0,0.19,0.0,0.2,0.25,0.0,0.28,0.19,0.0,0.0,0.0,0.43,0.19,0.19,0.19,0.0,0.0,0.19,0.3,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,63.519999999999996
