,MSFT,AAPL,State Street Instl US Govt MMkt Premier,V,JPM,DHR,UNH,ACN,CMCSA,TXN,TMO,MDLZ,MMC,HON,GE,MS,ABBV,ROP,CB,PEP,ROST,DIS,DG,HD,WFC,SCHW,SYK,UNP,AMT,BLL,EQR,AMAT,KO,WCN.TO,JNJ,FIS,A,NEE,ZTS,UPS,BDX,MCD,MDT,AON,LIN,AVY,BR,LLY,CI,HLT,MCHP,TEL,CCI,BAC,SRE,APD,PM,JBHT,NOC,SPGI,EOG,EFX,APH,ADP,ITW,PNC,ATO,TTE,WLTW,MKC,AEP,YUM,SHW,COST,CME,MAR,SEE,RPM,NKE,FTV,AZN,AEE,LVS,TSCO,DE,CMI,AXP,PGR,AWK,QCOM,CL,PCAR,DGE$.L,ES,ROK,HWM,CTAS,PPG,CAT,T,CHG.BK,ECL,PFE,CVS,TRP.TO,KMB,MRK,GVMXX,SDA.AX,002810.KS,CMS,Cash,n/a,603121.SS,GS,WTW,OTIS,WEC,WMT,DGED.L,KDP,BALL,SUM
08/16/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/17/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/18/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/19/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.0,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/20/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/23/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/24/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/25/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/26/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/27/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/30/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,0.0,0.01,0.0,0.08,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/31/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.08,0.0,3.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/01/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/02/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/03/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/06/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/07/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/08/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/09/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/10/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/13/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/14/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/15/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/16/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/17/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/20/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/21/2021,5.86,3.51,0.0,2.78,2.01,2.5,2.18,1.82,1.72,1.46,1.57,1.63,1.66,1.38,1.5,1.39,1.35,1.51,1.24,1.27,1.28,1.18,1.31,1.26,1.38,1.29,1.18,1.11,1.29,1.07,1.24,1.15,1.11,1.15,1.04,1.15,1.17,0.96,1.16,1.19,0.91,0.97,1.0,0.79,0.87,0.95,0.86,0.96,0.84,0.75,0.69,0.77,0.83,1.09,0.6,0.61,0.68,0.63,0.74,0.76,0.68,0.59,0.67,0.62,0.59,0.55,0.54,0.55,0.41,0.61,0.44,0.57,0.63,0.59,0.53,0.44,0.62,0.48,0.54,0.45,0.57,0.54,0.42,0.37,0.28,0.39,0.49,0.4,0.4,0.4,0.35,0.25,0.31,0.34,0.33,0.38,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.24,0.0,3.11,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
